quadkey,latitude,longitude,rwi,error
12222000132100,10.6498109,1.1535645,-0.364,0.312
12222010020113,10.8009324,2.9772949,-0.359,0.297
12222021030102,8.0265947,1.8566895,-0.725,0.294
12220232222133,11.2753865,2.9772949,-0.116,0.304
12222000313123,10.2392486,1.3513184,-0.561,0.295
12222001112311,10.9088300,2.6257324,-0.453,0.301
12222003023231,9.1346391,1.6589355,-0.255,0.297
12222001111333,11.0166883,2.8015137,-0.319,0.319
12222021001012,8.3745618,1.6369629,-0.636,0.303
12222003033221,9.1346391,1.9665527,-0.513,0.289
12222023010110,7.0027636,1.9006348,-0.332,0.317
12222003132120,9.2214045,2.5598145,-0.386,0.383
12220232222123,11.2753865,2.9333496,-0.259,0.327
12222023012233,6.6755194,1.8347168,-0.479,0.297
12222003310131,9.0478525,2.6257324,-0.518,0.299
12222003000102,9.7631974,1.5051270,-0.624,0.295
12222001331012,10.1094859,2.6916504,-0.440,0.300
12222003130322,9.2864645,2.5598145,-0.682,0.304
12222010200313,10.3689583,2.9772949,-0.441,0.304
12222010102000,10.9951198,3.5266113,-0.395,0.308
12222001223331,9.8281543,1.7468262,-0.491,0.307
12222010100322,11.0166883,3.6145020,-0.954,0.301
12222010222130,9.9147437,2.9553223,0.165,0.318
12222000132020,10.6066195,1.0656738,-0.358,0.299
12222010222210,9.8714518,2.8674316,-0.093,0.374
12222001101231,11.0382553,2.3620605,-0.673,0.305
12222001331133,10.0662199,2.8015137,-0.310,0.414
12222000312102,10.2824911,1.1535645,-0.821,0.293
12222021012102,8.2006163,1.8566895,-0.418,0.294
12222003323023,8.5049700,2.3181152,-0.698,0.301
12220232223003,11.3184804,3.0212402,-0.489,0.352
12222001212322,10.1527460,1.8566895,-0.377,0.297
12222023012200,6.7409861,1.7687988,-0.048,0.410
12222003002302,9.5032437,1.5051270,-0.411,0.284
12222021122021,7.8307313,2.1423340,-0.377,0.329
12222021232213,7.0681852,1.8347168,0.159,0.356
12222010212331,10.1743738,3.3288574,-0.680,0.299
12222001011302,11.0598206,2.0324707,-0.224,0.294
12222001220102,10.1094859,1.5051270,-0.406,0.295
12222001130031,10.7793483,2.5378418,-0.483,0.300
12222001302230,10.1743738,2.1643066,-0.207,0.307
12222000310302,10.3689583,1.1535645,-0.558,0.294
12222021203123,7.4605176,1.7028809,-0.511,0.301
12222001113313,10.8872536,2.8015137,-0.611,0.324
12222001111010,11.1676236,2.6916504,-0.287,0.303
12222001112102,10.9735497,2.5598145,-0.465,0.299
12222023130322,6.5008990,2.5598145,-0.131,0.389
12222003131011,9.4382242,2.7136230,-0.444,0.300
12222010001003,11.1460662,3.0212402,-0.663,0.303
