quadkey,latitude,longitude,rwi,error
03331331232132,12.6510579,-0.9118652,-0.111,0.306
03331332113130,12.3292689,-1.4392090,0.962,0.440
03331332223211,11.2538371,-2.5598145,-0.595,0.283
03333101330320,10.0013102,-3.0651855,-0.282,0.285
03331313131323,14.7855051,-0.0549316,-0.489,0.293
03331330330032,12.8225137,-1.7028809,-0.244,0.310
03331323030013,12.1789647,-3.7902832,-0.645,0.286
03331330030133,13.5071552,-2.2961426,-0.233,0.290
03331332011122,12.4794869,-2.1862793,-0.441,0.302
03331332101020,12.5009395,-1.9226074,-0.510,0.290
03331322300333,11.7060306,-4.7570801,-0.300,0.326
03331330333111,12.7153674,-1.4172363,-0.689,0.297
03331332301201,11.7705700,-1.9006348,-0.746,0.295
03333101002123,10.9304048,-4.0979004,-0.417,0.285
03331321213032,12.9938527,-3.6364746,-0.478,0.288
03333100303320,10.1743738,-4.6472168,-0.705,0.282
03333100033321,10.5202184,-4.9768066,-0.376,0.284
03331331022312,13.2934109,-1.2634277,-0.659,0.300
03331332321310,11.4261866,-1.7907715,-0.537,0.293
03331330300210,13.1436775,-2.0544434,-0.659,0.307
03331312303030,14.3814760,-1.8786621,-0.679,0.347
03331331220000,12.8867796,-1.3952637,-0.323,0.292
03331333022321,11.8996033,-1.2854004,0.014,0.332
03331321320311,12.8010881,-3.3508301,-0.279,0.299
03333100130111,10.8225151,-4.4055176,-0.315,0.283
03331313102013,15.0827314,-0.6262207,-0.558,0.280
03331330221112,12.8653594,-2.4938965,-0.606,0.288
03331333103313,12.2648633,-0.3625488,-0.274,0.325
03331321111111,13.9127399,-2.8234863,-0.466,0.278
03331321200102,13.2078602,-4.1198730,-0.645,0.285
12222000001130,11.1245072,0.3186035,-0.432,0.283
03333100311311,10.3905714,-4.2297363,-0.572,0.288
03333101003311,10.9088300,-3.8781738,-0.570,0.294
12220222003123,12.3078021,0.2966309,-0.164,0.281
03331332000031,12.5009395,-2.7355957,-0.706,0.298
03333100330312,10.0229482,-4.4274902,-0.607,0.307
03331312231323,14.1046123,-2.1643066,0.445,0.293
12220223030333,12.0500648,1.9226074,-0.592,0.289
12220220233101,12.7153674,0.6481934,-0.637,0.282
03331330020130,13.5285192,-2.6696777,-0.530,0.290
03331331322212,12.6081759,-0.6481934,-0.301,0.283
12220220233323,12.5652867,0.6481934,-0.477,0.281
12220220222000,12.7153674,0.0109863,-0.543,0.284
03331323331232,11.3615678,-2.9333496,0.133,0.293
03331313233101,14.0833011,-0.7580566,-0.432,0.299
12220220000212,13.8060751,0.0549316,-0.622,0.294
03331323002333,12.2219175,-4.0539551,-0.639,0.293
03333111010231,11.0382553,-0.9777832,-0.121,0.276
03331313312010,14.4240402,-0.2966309,-0.726,0.313
03331333210231,11.7275454,-0.9777832,-0.726,0.287
03331331330221,12.7582314,-0.3186035,-0.511,0.286
03331331312003,13.0366691,-0.3186035,-0.192,0.317
03331331220113,12.8653594,-1.2414551,-0.368,0.290
03333100313031,10.2608706,-4.3176270,-1.001,0.307
03333102110133,9.7198857,-4.4055176,-0.425,0.283
03331313231011,14.2537350,-0.8020020,-0.450,0.293
03331332123121,11.9855916,-1.8127441,-0.774,0.299
03331330303300,12.9724418,-1.8347168,-0.413,0.303
03331331233122,12.6510579,-0.7800293,-0.603,0.299
03331323020222,12.0500648,-4.2077637,-0.066,0.292
03331331331210,12.8010881,-0.1208496,-0.168,0.282
03331313123112,14.7430107,-0.3845215,-0.605,0.286
12220222002323,12.2219175,0.1208496,-0.569,0.286
03331332100120,12.5009395,-2.0104980,-0.356,0.291
03331323033023,11.9640971,-3.6584473,-0.721,0.285
03333101002302,10.8872536,-4.1198730,-0.211,0.305
03333101220112,10.1094859,-4.0759277,-0.656,0.282
03331313230023,14.1898373,-1.0217285,-0.459,0.292
03333100211123,10.4121830,-4.9768066,-0.564,0.287
03331330211301,13.1436775,-2.1643066,-0.690,0.300
03331333310030,11.8135879,-0.2966309,-0.385,0.302
03331323030223,12.0500648,-3.8342285,-0.643,0.286
03331332202210,11.5984314,-2.7575684,0.263,0.491
03331331323311,12.6296178,-0.3625488,-0.448,0.299
03331330300012,13.2078602,-2.0544434,-0.428,0.291
03331323201220,11.7275454,-4.0319824,-0.679,0.287
03331321131112,13.5498812,-2.8454590,-0.476,0.284
03331321133312,13.2934109,-2.8454590,-0.673,0.280
03331313132000,14.7642589,-0.3405762,-0.302,0.283
03331331220133,12.8225137,-1.2414551,-0.539,0.318
03331332223113,11.3184804,-2.4719238,-0.664,0.285
12220222003201,12.2863336,0.2087402,-0.440,0.283
03331323002011,12.3721972,-4.1418457,0.082,0.345
03333101212101,10.3041101,-3.7463379,-1.039,0.285
03331330313232,12.9081979,-1.5270996,-0.067,0.333
03333110001203,11.0598206,-2.6037598,-0.615,0.286
03331331231121,12.8439375,-0.7580566,-0.805,0.292
03333101200033,10.4121830,-4.1418457,-0.620,0.285
03331332332122,11.2753865,-1.6589355,-0.836,0.287
03331322232000,11.3400249,-5.2624512,-0.468,0.283
03333100300120,10.4337931,-4.8229980,-0.683,0.292
03331313331310,14.1685340,-0.0329590,-0.085,0.311
03331323021230,12.0715524,-3.9880371,-0.259,0.297
03333101213121,10.2608706,-3.5705566,-0.490,0.289
03331321231010,12.8867796,-3.6364746,-0.761,0.283
03331321332212,12.6081759,-3.1091309,0.044,0.378
03331333131301,12.1145226,-0.0549316,-0.791,0.293
12220223022313,11.9211029,1.5710449,-0.593,0.290
03333100032002,10.6282159,-5.2624512,-0.546,0.287
12220202220120,14.2111385,0.0988770,-0.160,0.290
03333100321022,10.0662199,-4.7351074,-0.091,0.285
03333101003201,10.9088300,-4.0100098,-0.422,0.288
03331313311232,14.4453192,-0.1208496,-0.652,0.290
03331330322210,12.6296178,-2.0544434,-0.294,0.292
03333100311310,10.3905714,-4.2517090,-0.829,0.289
03331330200032,13.1650736,-2.7575684,-0.491,0.284
03333100003121,10.9519780,-5.3283691,-0.731,0.298
03331322332203,11.2322862,-4.5373535,-0.632,0.293
03331321111123,13.8487469,-2.8674316,-0.297,0.274
03331332301211,11.7705700,-1.8566895,-0.345,0.324
12220202220032,14.1898373,0.0549316,-0.698,0.292
12220220020201,13.4857894,0.0329590,-0.185,0.296
03331322300010,11.8565990,-4.8669434,-0.730,0.282
12220222221033,11.4477230,0.2526855,-0.553,0.278
03333110000220,11.0382553,-2.8015137,-0.466,0.346
03333101302020,10.2608706,-3.5046387,-0.646,0.286
03331323013331,12.2433913,-3.5266113,-0.243,0.286
03331330200021,13.1864679,-2.7795410,-0.668,0.284
03331333123100,12.0285754,-0.4284668,-0.459,0.297
03331333021312,12.0930384,-1.0876465,-0.811,0.300
03333101210211,10.3905714,-3.7902832,-0.622,0.291
03331322323213,11.2322862,-4.6691895,-0.242,0.284
03331333132323,11.8781020,-0.2307129,-0.300,0.292
03331333321020,11.4692577,-0.5163574,0.647,0.366
03331332120030,12.1574857,-2.0544434,-0.371,0.352
12220220000230,13.7847363,0.0549316,-0.615,0.298
12220222121321,12.0715524,0.9997559,-0.458,0.288
03331321303303,12.9510290,-3.2189941,-0.600,0.283
03331333010030,12.5009395,-0.9997559,-0.608,0.286
03331332012232,12.2219175,-2.4060059,-0.239,0.370
03331332100112,12.5223904,-1.9665527,-0.233,0.288
03331333212232,11.5338520,-0.9997559,0.035,0.288
03331331233013,12.6939327,-0.8020020,-0.535,0.286
