quadkey,latitude,longitude,rwi,error
12223133020220,6.5227299,21.1047363,-0.401,0.378
12223300233232,4.2258996,17.4572754,-0.692,0.394
12223123331321,5.8236865,19.6325684,-0.462,0.379
12223132320300,5.8674033,20.4895020,-0.886,0.372
12223033312200,6.0422360,16.5344238,-0.386,0.377
12223213033013,3.6559638,16.0729980,-0.815,0.384
12223032310111,6.3043786,15.2819824,-0.553,0.425
12223031331320,7.2207995,16.7980957,-0.395,0.375
12223301221011,4.5545219,18.5339355,-0.107,0.389
12223301131123,5.1894234,19.6325684,-0.616,0.381
12223123131112,6.6318701,19.6545410,-0.758,0.393
12223032212321,5.9985331,14.5349121,-0.547,0.392
12223033301023,6.2388552,16.3806152,-0.476,0.376
12223133100221,6.8718928,21.8298340,-0.439,0.376
12223033103222,6.6755194,16.3586426,-0.310,0.374
12223122222103,5.7581050,16.9958496,-0.551,0.381
12223211312323,4.5764249,16.6442871,-0.623,0.378
12223310313203,4.6202287,20.9509277,-0.073,0.373
12223302111321,4.0724942,18.2263184,-0.654,0.383
12223033123100,6.4790672,16.4465332,-0.820,0.376
12223300003201,5.3425828,17.0837402,-0.603,0.383
12223133221033,5.8892605,21.3464355,-0.331,0.372
12232200201201,4.8173122,22.7087402,-0.637,0.373
12223132232021,5.7362428,20.0720215,-0.122,0.372
12223133301203,6.1951683,22.0056152,-0.888,0.370
12223303000231,4.0724942,18.3581543,-1.205,0.382
12223213033303,3.5682478,16.1169434,-0.445,0.382
12223302131232,3.6998186,18.1604004,-0.809,0.382
12223122003322,6.6755194,17.1496582,-0.575,0.371
12223133200110,6.3043786,21.2365723,-0.441,0.371
12223120303011,7.5258726,17.8308105,-0.559,0.379
12223311303203,4.6202287,22.0056152,-0.683,0.374
12223033031200,6.5663889,16.0070801,-0.434,0.391
12223302112101,4.0286586,18.0505371,-0.373,0.381
12223133011320,6.8718928,21.7199707,-0.414,0.378
12223210330312,4.4449973,15.2600098,-0.503,0.385
12223031233100,7.1772006,16.0949707,-0.172,0.376
12223301100121,5.5613152,19.1052246,-0.601,0.385
12223211232302,4.2697242,15.9191895,-0.978,0.382
12223301223221,4.2478122,18.4899902,-0.563,0.387
12223211313213,4.6202287,16.7761230,-0.313,0.378
12223031302102,7.5040887,16.2707520,-0.249,0.377
12223211130201,5.1675404,16.5563965,-0.268,0.376
12223211101203,5.4957038,16.3806152,-0.830,0.376
12223301223111,4.3792747,18.6218262,0.626,0.567
12223211133113,5.0581143,16.8640137,-0.724,0.380
12223123302102,6.1077838,19.0832520,-0.527,0.381
12223303003312,3.9190595,18.5998535,-1.247,0.382
12223310010022,5.5394455,20.0500488,-0.607,0.377
12223211101130,5.5613152,16.4904785,-0.285,0.384
12223311013003,5.4082108,21.6540527,-0.540,0.368
12232000300102,10.4554016,23.3020020,-0.328,0.376
12223031321233,7.1990006,16.4245605,-0.523,0.389
12223132322133,5.7143797,20.5554199,-0.696,0.372
12223213120302,3.7436712,16.2707520,-0.746,0.396
12223303001130,4.1601581,18.5998535,-0.672,0.405
12223122131310,6.5663889,18.2482910,-0.603,0.374
12223031323202,7.0681852,16.3586426,-0.641,0.374
12223123220211,5.8674033,18.3581543,-0.278,0.383
12223311211312,4.7954168,21.7639160,-0.580,0.373
12223211212101,4.7297265,15.9411621,-0.642,0.379
12223311010101,5.6050520,21.5661621,-0.818,0.370
12223033323232,5.6269192,16.4025879,-0.760,0.376
12223310302111,4.7297265,20.5554199,-0.506,0.374
12223210333013,4.3573658,15.3698730,-0.454,0.382
12223033213020,6.0859354,16.0070801,-0.683,0.379
12223302120231,3.7217452,17.6550293,-0.800,0.379
12223213211133,3.4366581,16.1608887,-0.445,0.381
12223302001113,4.1820725,17.2155762,-0.516,0.379
12223033300110,6.3043786,16.3146973,-0.775,0.376
12223032213003,6.1077838,14.6228027,-0.144,0.388
12223122030030,6.6100440,17.2814941,-0.381,0.371
12223301210200,4.8173122,18.6437988,-0.460,0.393
12223211322223,4.2258996,16.2048340,-0.623,0.397
12223310100023,5.5394455,20.4235840,-0.719,0.371
12223211211301,4.8173122,16.1169434,-0.404,0.378
12223123313002,6.1077838,19.5227051,-0.391,0.380
12223310133202,4.9705600,20.9289551,-0.508,0.372
12223311223030,4.3354564,21.3244629,-0.513,0.371
12223213102210,3.9409805,16.2268066,-0.363,0.381
12223122103300,6.7409861,17.8527832,-0.374,0.371
12223211230222,4.4011829,15.8312988,-0.877,0.381
12223033122222,6.3262180,16.1828613,-0.522,0.376
12223122131110,6.6536952,18.2482910,-0.113,0.373
12223311232133,4.3135463,21.6101074,-0.406,0.387
12232201131030,5.2113056,25.1916504,-0.700,0.378
12223213002320,3.8971380,15.5676270,-0.203,0.384
12223300333123,4.3135463,18.2263184,-0.478,0.392
12223033301300,6.2170122,16.4465332,-0.416,0.375
12223311223003,4.3573658,21.3024902,-0.168,0.371
12223302100231,4.0724942,17.6550293,-0.758,0.381
12223033012331,6.6973426,15.9851074,-0.391,0.392
12223032130013,6.6318701,15.1940918,-0.641,0.383
12223032111303,6.8937071,15.4138184,-0.850,0.381
12223132002230,6.6973426,19.7424316,-0.581,0.379
12223211012111,5.4300853,15.9851074,-0.726,0.377
12223132323012,5.7581050,20.6213379,-0.504,0.387
12223133323302,5.6706511,22.0715332,-0.372,0.371
12223311333300,4.2916356,22.4230957,-0.804,0.375
12223212103311,3.9409805,15.1062012,-0.397,0.436
12223310303232,4.5764249,20.6213379,-0.746,0.376
12223121203001,7.5258726,18.4899902,-0.260,0.374
12223123001030,6.9591440,18.5119629,-0.613,0.372
12223031310222,7.5476555,16.5344238,-0.439,0.374
12223133323232,5.6269192,22.0275879,-0.900,0.370
12223302121100,3.8532931,17.8527832,-0.124,0.379
12223032110320,6.8718928,15.2160645,-0.709,0.379
12223301130310,5.1675404,19.4787598,-0.566,0.398
12223311011302,5.4957038,21.7199707,-0.651,0.369
12223213112303,3.9190595,16.6442871,-0.134,0.656
12223211223221,4.2478122,15.6774902,-0.331,0.382
12223033130331,6.5227299,16.6882324,-0.818,0.374
12223120330321,7.2207995,18.0505371,-0.866,0.375
12223301220113,4.5326183,18.4460449,-0.691,0.382
12223132331111,5.9548266,21.0827637,-0.700,0.374
12223032310030,6.2606973,15.1721191,-0.565,0.382
12223302121001,3.8532931,17.7868652,-0.692,0.380
12223311203111,4.7297265,21.4343262,-0.570,0.370
12223300033101,5.0800010,17.5231934,-0.675,0.383
12223132320220,5.8236865,20.4016113,-0.530,0.373
12223211003130,5.3863356,15.7873535,-0.292,0.379
12223310331131,4.5107140,21.0827637,-0.485,0.374
12223311003132,5.3644596,21.4123535,-0.433,0.370
12223212112303,3.9190595,15.2380371,-0.411,0.389
12223133121330,6.5227299,22.1154785,-0.432,0.378
12223311013302,5.3207052,21.7199707,-0.401,0.368
12223133122031,6.4354006,21.8737793,-0.601,0.380
12223031312233,7.3733623,16.6003418,-0.378,0.391
12223302130211,3.7655967,18.0065918,-0.302,0.380
12223210130003,5.2331870,15.1501465,-0.334,0.383
12223301223323,4.2258996,18.5778809,-0.481,0.393
12223122013002,6.8064439,17.4133301,-0.603,0.371
12223033202212,6.0203850,15.5236816,-0.410,0.379
12223031303310,7.4387304,16.4904785,-0.609,0.386
12223310310213,4.7954168,20.8190918,-0.997,0.374
12223311333310,4.2916356,22.4670410,-0.221,0.376
12232022022200,6.3917304,22.5109863,-0.548,0.375
12223311211310,4.8173122,21.7639160,-0.221,0.371
12223033311101,6.3043786,16.8200684,-0.563,0.376
12232200200333,4.7516240,22.6647949,-0.174,0.372
12223211133132,5.0143386,16.8420410,-0.526,0.380
12223033021230,6.5227299,15.6994629,-0.686,0.377
12223300122232,4.9267785,17.6330566,-0.500,0.383
12223300121230,5.1237722,17.8088379,-0.661,0.392
12223211000030,5.5613152,15.5236816,-0.611,0.381
12223032313033,6.0640861,15.3698730,-0.442,0.379
12223310012123,5.3644596,20.1599121,-0.576,0.373
12223301223110,4.3792747,18.5998535,0.963,0.472
12223311330130,4.5107140,22.2912598,-0.448,0.376
12223032332312,5.6706511,15.2600098,-0.180,0.381
12223122033112,6.4572344,17.5451660,-0.542,0.373
12223032332330,5.6487856,15.2600098,-0.605,0.406
12223301122322,4.9267785,19.0832520,-0.444,0.391
12223123003113,6.8064439,18.6218262,-0.366,0.373
12223030333323,7.0245718,15.4138184,-0.600,0.381
12223122112331,6.6973426,18.0944824,-0.336,0.374
12223031302323,7.3733623,16.2927246,-0.501,0.380
12223122333313,5.6706511,18.2702637,-0.631,0.384
12223122101203,6.8937071,17.7868652,-0.293,0.375
12223302032112,3.6559638,17.3693848,-1.050,0.378
12223123020221,6.5227299,18.3142090,-0.783,0.374
12223302131212,3.7436712,18.1604004,-0.387,0.382
12223301222321,4.2478122,18.4020996,-0.402,0.382
12223310302031,4.6859294,20.4675293,-0.608,0.374
12223310013013,5.4082108,20.2917480,-0.612,0.372
12223213001100,4.2039864,15.7434082,-0.483,0.383
12223300102010,5.4300853,17.6330566,-0.402,0.382
12223310103211,5.3425828,20.6433105,-0.333,0.372
12223311031233,5.1018870,21.6979980,-0.505,0.370
12223031233203,7.0681852,16.0290527,-0.446,0.376
12223033022310,6.3917304,15.6115723,-0.421,0.378
12223122012302,6.7191648,17.3254395,-0.342,0.371
12223311322203,4.2697242,21.8298340,-0.515,0.382
12232002322000,8.5701576,23.2141113,-0.378,0.378
12223310123332,4.9267785,20.7092285,-0.398,0.373
12223213213312,3.2173020,16.1389160,-0.755,0.383
12223302131222,3.6998186,18.1164551,-0.131,0.380
12223303003310,3.9409805,18.5998535,-0.547,0.380
12223132313323,5.9766803,21.0388184,-0.441,0.375
12223123320323,5.8018269,19.1052246,-0.426,0.496
12223031303321,7.3951528,16.4685059,-0.688,0.392
12223300100232,5.4519589,17.6330566,-0.395,0.397
12223120323001,7.1772006,17.7868652,-0.121,0.374
12223310112022,5.3644596,20.7531738,0.020,0.371
12223132331100,5.9548266,21.0168457,-1.222,0.374
12223033123022,6.4135660,16.3586426,-0.437,0.374
12223301203213,4.6202287,18.5339355,-0.229,0.392
12223033232032,5.7143797,15.8752441,-0.339,0.378
12223300120202,5.1456567,17.5891113,-0.697,0.382
12223311003310,5.3425828,21.4123535,-0.786,0.371
12223211101010,5.6050520,16.4025879,-0.463,0.392
12223311302302,4.6202287,21.8957520,-0.341,0.371
12223031310121,7.6565531,16.6442871,-0.489,0.377
12223310122300,4.9924497,20.4895020,-0.212,0.373
12223033302203,6.0203850,16.2048340,-0.858,0.377
12223033232120,5.7362428,15.9191895,-0.882,0.385
12223310030233,5.1018870,20.1159668,-0.774,0.375
12223310301110,4.9048867,20.7092285,-0.397,0.373
12223311203020,4.6859294,21.2805176,-0.423,0.372
12223311332310,4.2916356,22.2912598,-0.571,0.372
12223212113231,3.8971380,15.3698730,-0.771,0.386
12223310311111,4.9048867,21.0827637,-0.644,0.373
12223032230131,5.9111167,14.5788574,-0.115,0.468
12223033023122,6.4135660,15.7434082,-0.368,0.378
12223210333003,4.3573658,15.3259277,-0.502,0.383
12223033031022,6.5882169,16.0070801,-0.364,0.391
12223211003021,5.3863356,15.6774902,-0.486,0.395
12223123020020,6.6100440,18.2922363,-0.347,0.374
12223302123131,3.6340356,17.9187012,-0.383,0.394
12223301130230,5.1237722,19.3908691,-0.350,0.387
12223120222030,7.1335976,16.9299316,-0.167,0.373
12223311011312,5.4957038,21.7639160,-0.170,0.369
12223031323012,7.1553996,16.4025879,-0.994,0.375
12223133200300,6.2170122,21.1926270,-0.129,0.371
12223301032130,5.0362268,18.7756348,-0.345,0.385
12223120203210,7.4387304,17.1057129,-0.327,0.376
12223300232020,4.3354564,17.2375488,-0.426,0.381
12223311313212,4.6202287,22.3791504,-0.330,0.438
12223120312133,7.4605176,18.0944824,0.163,0.377
12223031232330,7.0463790,15.9631348,-0.351,0.376
12223123302333,5.9766803,19.1491699,-0.298,0.383
12223302113032,3.9629009,18.1604004,-0.202,0.382
12223033323203,5.6706511,16.3806152,-0.938,0.376
12223301020311,5.1675404,18.4460449,0.073,0.383
12223211123332,4.9267785,16.4904785,-0.917,0.377
12223133200030,6.2606973,21.1486816,-0.587,0.371
12223301210003,4.8829942,18.6657715,-0.433,0.393
12223132223112,5.7581050,20.0061035,-0.394,0.373
12223031312323,7.3733623,16.6442871,-0.621,0.391
12232002233110,8.5701576,23.1701660,-0.793,0.377
12223211010203,5.4957038,15.8532715,-0.336,0.379
12223132321321,5.8236865,20.6872559,-0.536,0.372
12223122031300,6.5663889,17.5012207,-0.566,0.371
12223302103313,3.9190595,17.9187012,-0.584,0.395
12223210333212,4.2697242,15.3479004,-0.409,0.385
12223211011012,5.5831840,16.0510254,-0.871,0.378
12223311230203,4.4449973,21.4782715,-0.310,0.372
12223122033210,6.3917304,17.4572754,-0.370,0.376
12223301202312,4.6202287,18.4240723,-0.442,0.398
12223301223013,4.3573658,18.5339355,1.417,0.466
12223301222020,4.3354564,18.2922363,-0.603,0.382
12223310132313,4.9705600,20.9069824,-0.439,0.388
12223121333233,7.0245718,19.5886230,-0.309,0.375
12223212113002,4.0067400,15.3039551,-0.017,0.386
12223033122232,6.3262180,16.2268066,-0.362,0.376
12223120201033,7.6347758,17.1276855,-0.467,0.439
12223032300030,6.2606973,14.8205566,-0.595,0.383
12223310023112,5.0581143,20.0061035,-0.739,0.376
12223121202131,7.4823037,18.4460449,-0.692,0.374
12223132233310,5.6925158,20.3576660,-0.499,0.372
12223212113223,3.8752158,15.3259277,-0.530,0.403
12223302103212,3.9190595,17.8088379,-0.838,0.379
12223212110110,4.2039864,15.2600098,-0.465,0.383
12223311203222,4.5764249,21.2805176,0.251,0.369
12223031301100,7.7001044,16.4465332,-0.127,0.374
12223310131303,5.1456567,21.0388184,-0.792,0.370
12223123103120,6.7846256,19.2590332,-0.416,0.374
12223133232132,5.7143797,21.5881348,-0.325,0.370
12223133120031,6.6100440,21.8737793,-0.143,0.378
12223133103220,6.6973426,21.9836426,-0.350,0.378
12223300122213,4.9705600,17.6550293,-0.972,0.384
12223120301332,7.5476555,17.8967285,-0.384,0.379
12223212112112,4.0067400,15.2600098,-0.699,0.401
12223122120102,6.6318701,17.6770020,-0.465,0.372
12223031233201,7.0899903,16.0290527,-0.627,0.377
12223213002231,3.8971380,15.5456543,-0.305,0.384
12223213112312,3.9190595,16.6662598,-0.839,0.606
12223133120113,6.6318701,21.9616699,-0.410,0.378
12223300323232,4.2258996,17.8088379,-0.538,0.385
12223211321112,4.5326183,16.4904785,-0.744,0.377
12223301221231,4.4230904,18.5339355,1.006,0.476
12223311322111,4.3792747,21.9616699,-0.546,0.406
12223210321201,4.4669035,14.9743652,-0.587,0.383
12223300003210,5.3425828,17.1057129,-0.422,0.383
12223211000332,5.4519589,15.6115723,-0.357,0.379
12223121231320,7.2207995,18.9074707,-0.587,0.375
12223310300210,4.8173122,20.4455566,-0.723,0.374
12223302112320,3.8971380,18.0285645,-0.137,0.380
12223302011022,4.1382430,17.4133301,-0.556,0.379
12223210110211,5.5175751,15.1940918,-0.782,0.382
12223121323322,7.0245718,19.2590332,-0.256,0.373
12223123122220,6.3480564,18.9953613,0.026,0.376
12223132332131,5.7362428,20.9069824,-0.452,0.372
12223302103122,3.9629009,17.8527832,-0.137,0.379
12223211020210,5.1675404,15.5236816,-0.745,0.395
12223033031000,6.6536952,16.0070801,-0.309,0.391
12223032313021,6.0859354,15.3259277,-0.722,0.410
12223120200303,7.5912178,16.9958496,-0.730,0.378
12223031321300,7.2643942,16.4465332,0.469,0.465
12223212110031,4.1601581,15.1940918,-0.139,0.384
12223311023302,4.9705600,21.3684082,-0.639,0.370
12223121220022,7.2861900,18.2922363,0.143,0.368
12223210112131,5.3863356,15.2819824,-0.585,0.397
12232002320230,8.6136097,23.2580566,-0.644,0.378
12223310331303,4.4449973,21.0388184,-0.694,0.377
12223033000203,6.8937071,15.5017090,-0.047,0.387
12223211122021,5.0362268,16.2048340,-0.502,0.377
12223121231022,7.2861900,18.8195801,-0.406,0.374
12223133233023,5.7143797,21.6540527,-0.341,0.386
12223133200303,6.1951683,21.2145996,-0.695,0.370
12223123012021,6.7846256,18.6657715,-0.499,0.374
12223303002230,3.8971380,18.3361816,-0.087,0.382
12232210112310,5.3425828,26.5100098,-0.478,0.382
12223033002031,6.7846256,15.5456543,-0.815,0.378
12223133011310,6.9155204,21.7639160,-0.547,0.378
12223310312330,4.5983271,20.8850098,-0.386,0.373
12223211003320,5.2988268,15.7434082,-0.447,0.394
12223031222213,7.0681852,15.5456543,-0.259,0.378
12223310313200,4.6421296,20.9289551,-0.709,0.373
12223123332110,5.7799663,19.4787598,-0.775,0.381
12232200210220,4.7735207,22.8625488,-0.230,0.369
12232200201203,4.7954168,22.7087402,-0.553,0.372
