quadkey,latitude,longitude,rwi,error
03333102021110,9.4382242,-5.3063965,0.084,0.380
03333211300110,4.9048867,-6.1853027,-0.253,0.353
03333033110031,6.9591440,-5.8996582,-0.068,0.409
03333030312311,7.4387304,-7.2180176,-0.441,0.348
03333123011002,6.9809543,-3.6804199,-0.524,0.364
03333011311120,10.4337931,-5.7019043,-0.402,0.333
03333011202233,10.1527460,-6.9543457,0.205,0.414
03333031133030,7.8307313,-5.7458496,-0.013,0.393
03333120233133,7.1117945,-4.9328613,0.001,0.404
03333211003333,5.2769476,-6.6906738,-0.373,0.331
03333300130122,5.1894234,-4.4714355,-0.102,0.386
03333033323032,5.7143797,-6.0974121,-0.635,0.420
03333100223111,9.9580298,-5.2844238,-0.355,0.357
03333211012322,5.2769476,-6.5808105,-0.814,0.362
03333120103201,8.1353671,-4.7131348,-0.340,0.362
03333013203011,8.9176335,-6.7785645,-0.578,0.352
03333102030002,9.4165483,-5.2624512,-0.637,0.361
03333032321331,5.8236865,-7.3937988,-0.471,0.332
03333011211133,10.4121830,-6.3391113,-0.399,0.333
03333121311013,7.6783293,-2.9113770,-0.265,0.396
03333301101321,5.4738318,-3.2189941,0.711,0.537
03333033223030,5.7362428,-6.8005371,-0.167,0.399
03333033111122,6.9373327,-5.7019043,-0.247,0.427
03333122221012,5.9329721,-5.3942871,-0.011,0.371
03333103000213,9.6765684,-4.1418457,-0.271,0.324
03333123120201,6.5663889,-3.4826660,-0.442,0.366
03333121032311,7.7871935,-3.7023926,-0.130,0.330
03333011322203,9.8498038,-6.2951660,0.189,0.364
03333033232012,5.7581050,-6.6247559,0.098,0.444
03333102002111,9.6115820,-5.4602051,-0.450,0.367
03333030320330,7.2207995,-7.5915527,0.161,0.429
03333033210312,6.1951683,-6.5368652,-0.247,0.420
03333031023102,7.8524985,-6.7565918,-0.884,0.351
03333120010322,8.2441099,-5.1745605,-0.619,0.346
03333031021321,7.9177932,-6.7346191,-0.341,0.414
03333122221211,5.8674033,-5.3723145,-0.513,0.523
03333121020001,8.0483515,-4.1857910,-0.092,0.329
03333211200231,4.7735207,-6.9543457,-0.558,0.373
03333122003123,6.7628064,-5.3283691,-0.238,0.418
03333211200103,4.8829942,-6.9104004,-0.391,0.355
03333102013211,9.5249141,-5.0207520,-0.259,0.332
03333301100332,5.4519589,-3.3728027,-0.332,0.386
03333031232202,7.0681852,-6.6687012,-0.515,0.353
03333032133202,6.3698938,-7.1960449,-0.687,0.332
03333030311311,7.6129974,-7.0422363,-0.535,0.330
03333123033221,6.3480564,-3.6584473,-0.245,0.347
03333032011312,6.8937071,-7.7673340,-0.298,0.322
03333030302333,7.3733623,-7.5695801,0.417,0.465
03333033021003,6.6318701,-6.8225098,-0.474,0.330
03333102030110,9.4382242,-5.1306152,-0.473,0.346
03333121320032,7.2861900,-3.4606934,-0.626,0.338
03333031023223,7.7218784,-6.8225098,-0.775,0.351
03333033321213,5.8455454,-6.0754395,-0.889,0.364
03333122331120,5.9111167,-4.2956543,-1.026,0.377
03333023133100,6.4790672,-8.5144043,-0.382,0.371
03333120231113,7.3297783,-4.9328613,-0.163,0.344
03333011330210,10.0445848,-5.9216309,-0.466,0.354
03333211010022,5.5394455,-6.6687012,-0.205,0.348
03333033101303,6.8937071,-6.0314941,-0.079,0.412
03333210110320,5.4738318,-7.2839355,-0.537,0.327
03333033031233,6.5008990,-6.4270020,0.176,0.421
03333121132111,7.8742645,-2.9992676,-0.446,0.390
03333013111321,9.6549077,-5.6799316,-0.536,0.335
03333211130332,5.1018870,-5.8337402,0.127,0.449
03333011033033,10.5850215,-6.4270020,-0.567,0.331
03333033021122,6.5882169,-6.7565918,-0.292,0.345
03333210330022,4.4888091,-7.3718262,-0.800,0.326
03333100212310,10.2176252,-5.1306152,-0.681,0.332
03333120220320,7.2207995,-5.5261230,-0.756,0.368
03333102121032,9.3731925,-4.6911621,-0.603,0.322
03333031131023,7.9830776,-5.7678223,-0.368,0.377
03333011210112,10.4554016,-6.5368652,-0.284,0.330
03333013123221,9.1346391,-6.1193848,-0.306,0.457
03333013131200,9.3515125,-5.7897949,-0.703,0.336
03333210311330,4.7735207,-7.0642090,-0.473,0.347
03333013101200,9.6982277,-6.1413574,-0.327,0.330
03333301111223,5.4519589,-2.9553223,-0.424,0.354
03333300001310,5.5175751,-5.3063965,0.329,0.448
03333033122302,6.3698938,-6.2292480,0.661,0.443
03333013331231,8.6136097,-5.7238770,-0.994,0.338
03333012102103,9.5899171,-7.6135254,-0.282,0.346
03333301111130,5.5613152,-2.8454590,-0.804,0.324
03333103112130,9.5682508,-3.0212402,-0.569,0.328
03333301131111,5.2550677,-2.8234863,-0.374,0.325
03333103121031,9.3948711,-3.2629395,-0.552,0.328
03333123213112,6.1077838,-3.5485840,-0.754,0.356
03333032133033,6.4135660,-7.1301270,-0.255,0.334
03333032133023,6.4135660,-7.1740723,-0.295,0.333
03333122133300,6.3917304,-4.2956543,-0.421,0.349
03333030120222,7.8960294,-7.7233887,-0.593,0.330
03333032133003,6.4572344,-7.1740723,-0.466,0.341
03333112002323,9.4598988,-2.6916504,-0.492,0.321
03333122112003,6.8064439,-4.5373535,-0.635,0.446
03333123200023,6.2388552,-4.1857910,-0.578,0.354
03333032332032,5.7143797,-7.3278809,-0.307,0.319
03333030231020,7.3079846,-7.8991699,-0.127,0.343
03333121230212,7.2425974,-3.8122559,-0.127,0.354
03333100233031,9.9147437,-5.0207520,-0.698,0.329
03333121133132,7.8089630,-2.8454590,-0.496,0.348
03333120333332,7.0245718,-4.2517090,-0.777,0.345
03333123323300,5.6925158,-3.2409668,-0.533,0.324
03333112221002,8.7222181,-2.6257324,-0.705,0.322
03333210132132,5.0143386,-7.2399902,-0.843,0.335
03333300113113,5.4082108,-4.2297363,-0.057,0.385
03333123330210,5.8674033,-3.1091309,-0.720,0.327
03333102121210,9.3515125,-4.6911621,-0.970,0.324
03333031211130,7.6565531,-6.3610840,-0.748,0.359
03333103333010,8.5701576,-2.9333496,-0.806,0.329
03333122000121,6.9591440,-5.5041504,-0.183,0.430
03333100233203,9.8498038,-5.0646973,-0.729,0.329
03333030330111,7.3515708,-7.2180176,-0.088,0.468
03333120323020,7.1335976,-4.7351074,-0.042,0.338
03333033131001,6.6536952,-5.7678223,-0.307,0.444
03333301102030,5.3863356,-3.4606934,-0.801,0.377
03333031333200,7.0899903,-5.7897949,-0.487,0.380
03333120320122,7.2861900,-4.8229980,-0.201,0.363
03333121320003,7.3297783,-3.4826660,0.091,0.402
03333030111331,8.2658549,-7.0422363,-0.597,0.329
03333121022121,7.8307313,-4.0979004,-0.358,0.351
03333030213332,7.3733623,-7.7673340,-0.153,0.360
