quadkey,latitude,longitude,rwi,error
12223010001321,11.0382553,14.3591309,-0.461,0.362
12223210231003,4.5326183,14.6228027,-0.683,0.362
12223203000200,4.1163273,12.6672363,-0.313,0.353
12222311313313,4.6202287,11.2390137,-0.273,0.383
12223012222030,8.5267005,14.1174316,-0.456,0.338
12223203101000,4.2039864,13.5461426,-0.956,0.354
12223202122311,3.5901776,12.1179199,-0.802,0.351
12222133222231,5.6487856,9.9206543,-0.023,0.351
12221232323023,11.2753865,14.9743652,-0.390,0.371
12223022220002,5.9329721,11.2609863,-0.149,0.350
12223202310323,3.3489215,12.4255371,-0.749,0.351
12222310122002,5.0581143,9.1516113,-0.705,0.355
12222133213021,6.0859354,10.4040527,-0.744,0.350
12222133122100,6.4790672,10.6457520,-0.778,0.355
12223202022233,3.5243866,11.3269043,-0.835,0.407
12223021312203,7.4169421,13.7438965,-0.432,0.375
12222133231123,5.8892605,10.4919434,0.966,0.369
12223010031121,10.7793483,14.7106934,-0.402,0.354
12223030311322,7.5476555,15.3918457,-0.611,0.349
12223032230031,5.9111167,14.4909668,-0.182,0.390
12222132132100,6.4790672,9.5910645,-0.643,0.375
12223021323113,7.1553996,13.6999512,0.266,0.453
12223022200032,6.2388552,11.3049316,-0.184,0.352
12223021223123,7.1117945,12.9528809,-0.960,0.346
12223003130313,9.3298312,13.8757324,-0.464,0.354
12223202230213,3.0417830,11.6784668,-0.564,0.373
12223010203010,10.3041101,14.2932129,-0.368,0.355
12223012321232,8.5918843,14.9963379,-0.144,0.357
12223200212211,4.6421296,11.6784668,-0.753,0.436
12221232120112,12.1789647,14.9084473,-0.447,0.339
12222133033022,6.4135660,10.3820801,-0.224,0.351
12223003103102,9.5899171,13.6340332,-0.584,0.355
12223021333113,7.1553996,14.0515137,-0.537,0.363
12223021233320,7.0463790,13.2824707,-0.574,0.347
12223001330030,10.0878536,13.7658691,-0.332,0.349
12222310310233,4.7516240,9.5690918,-0.200,0.350
12222313030220,3.7217452,10.2062988,-0.571,0.358
12223021323213,7.0681852,13.6120605,-0.301,0.367
12223202312320,3.1953637,12.4035645,-0.097,0.374
12222313103213,3.9190595,10.7995605,-0.581,0.378
12223021233100,7.1772006,13.2824707,-0.423,0.350
12222313312002,3.3050503,10.9094238,-0.335,0.351
12221230232221,12.5867322,14.4470215,-0.107,0.506
12222133133001,6.4790672,11.1071777,-0.761,0.342
12222313321331,3.0198411,10.8874512,-0.518,0.348
12222310202311,4.6421296,8.6022949,-0.492,0.339
12223023021321,6.5227299,12.9528809,-0.672,0.359
12223210212113,4.7078283,14.5788574,-0.888,0.361
12223010203131,10.2608706,14.4030762,0.012,0.338
12223022200313,6.1951683,11.4147949,-0.100,0.351
12223022121111,6.6536952,12.2937012,-0.811,0.351
12223202021301,3.7655967,11.5466309,0.832,0.479
12222133221001,5.9548266,10.0524902,0.365,0.417
12222133330212,5.8455454,10.9533691,-0.371,0.349
12222310213332,4.5764249,9.1076660,-0.149,0.433
12223020132232,7.7218784,12.3596191,-0.902,0.357
12223202002022,3.9629009,11.2609863,-0.034,0.367
12223202220100,3.1514858,11.3488770,-0.052,0.363
