quadkey,latitude,longitude,rwi,error
30010202133333,-7.7001044,23.8952637,-0.320,0.383
30001032220230,-5.4082108,14.1174316,-0.371,0.368
30001122101301,-4.3135463,17.8747559,-0.616,0.389
30010300333312,-6.9591440,29.4982910,-0.231,0.375
12232303013233,3.8752158,30.1354980,-0.488,0.454
30001301323100,-6.8500775,19.2590332,-0.617,0.359
30001032301120,-4.9705600,15.0402832,-0.558,0.365
12223332212203,0.4064907,20.0720215,-0.296,0.359
30010230001302,-8.5267005,25.5871582,-0.245,0.384
12223331210312,1.9881263,21.5881348,-0.442,0.370
30010232312131,-10.7145865,26.5319824,-0.107,0.388
30001133102003,-4.4230904,21.8298340,-0.429,0.376
12223330031313,2.3394375,20.3796387,-0.435,0.363
30010320022333,-9.0912484,28.2897949,-0.084,0.374
30001131231011,-3.8752158,21.6979980,-0.422,0.374
30010233031210,-10.2392486,27.3010254,-0.513,0.370
12232220112021,2.5809138,23.5876465,-0.400,0.375
30001122031210,-4.6640299,17.4572754,-0.509,0.367
30010122011332,-4.3792747,28.7951660,0.042,0.393
30012102013210,-12.8225137,28.7072754,-0.556,0.363
30010122022303,-4.8611009,28.2458496,-0.242,0.368
12232330200030,2.0540032,30.9924316,-0.321,0.367
30010233212311,-10.7577626,27.2351074,0.620,0.515
30010232203210,-10.7577626,25.5432129,-0.156,0.465
30010212001113,-7.0463790,25.6530762,-0.258,0.388
30001121001320,-2.9540126,18.5559082,0.099,0.381
30001122011203,-4.3354564,17.4353027,-0.267,0.376
30010211201010,-6.3262180,26.9494629,-0.511,0.386
30010000311001,-0.7140928,23.7634277,-0.481,0.375
30010200212101,-6.5008990,22.9724121,-0.274,0.376
12232231011321,2.6687122,27.3669434,-0.781,0.404
30001013113003,-1.6147764,16.7321777,-0.657,0.379
12232222000212,1.2852926,22.5549316,-0.756,0.373
12232321310131,2.0540032,30.7507324,-0.464,0.381
12223330311221,1.9661667,20.9509277,-0.507,0.359
12223330301130,2.0540032,20.7092285,-0.214,0.362
30001032113033,-4.4669035,15.3698730,0.642,0.385
30001023032210,-4.8392069,13.0627441,-0.624,0.366
12232303222020,2.9320690,29.5422363,-0.580,0.381
30001023213212,-5.2113056,13.2385254,-0.599,0.366
30001301333301,-6.9373327,19.6325684,-0.060,0.360
30001132322102,-5.4738318,20.4895020,-0.067,0.351
30001300101133,-5.6925158,17.9187012,-0.539,0.364
30001300221310,-6.7628064,17.1936035,0.132,0.355
30010222200313,-10.6066195,22.6647949,-0.716,0.361
12232303312333,3.1734250,30.7507324,-0.183,0.370
30001311000231,-5.7581050,21.1706543,-0.613,0.370
30010202113132,-7.2643942,23.8732910,-0.622,0.391
30010212102230,-7.3297783,26.0705566,-0.408,0.378
12232303303330,3.1953637,30.5529785,-0.527,0.376
30001023221221,-5.4082108,12.8649902,-0.524,0.360
30001032330131,-5.3207052,15.2819824,-0.482,0.367
30010200301320,-6.4572344,23.4777832,-0.514,0.386
30010212121031,-7.4169421,26.2683105,-0.107,0.379
12232321310011,2.0979197,30.6628418,-0.411,0.366
30010200110203,-5.7362428,23.5876465,-0.387,0.380
12223321121220,2.3174830,19.1711426,-0.667,0.371
30001201102030,-5.8455454,13.4143066,-0.354,0.402
30010122201223,-5.0800010,28.3337402,-0.654,0.362
12232222131323,0.8898568,23.8513184,-0.700,0.375
30001032330220,-5.4082108,15.1281738,-0.022,0.352
30001033101023,-4.2916356,16.3806152,-0.515,0.362
30001311333012,-6.8718928,22.3791504,-0.290,0.435
30001032131312,-4.6859294,15.4357910,-0.393,0.374
30010102030001,-1.7685179,28.5095215,-0.399,0.361
30010233202221,-10.8009324,26.7517090,-0.310,0.375
30001111231300,-1.1534865,21.7199707,-0.326,0.368
30010100112001,-0.1867672,29.2126465,-0.246,0.385
30010120121002,-3.1953637,29.0148926,0.076,0.353
30010200332010,-6.8500775,23.6096191,-0.581,0.389
12223323303311,0.4284628,19.3249512,-0.717,0.370
30010013330232,-2.6248138,27.8283691,-0.517,0.373
30010230023310,-9.0261526,25.6311035,-0.676,0.399
30001120323313,-4.1601581,17.9187012,-0.507,0.373
30001111210323,-0.8678867,21.5661621,-0.049,0.369
30010221022301,-9.0261526,24.0270996,-0.542,0.378
30010303021012,-7.3951528,29.7619629,-0.454,0.384
12232323011010,1.3951258,30.1135254,-0.153,0.371
30001122232022,-5.5175751,17.2375488,-0.449,0.358
30001302131030,-7.4169421,18.1604004,-0.435,0.360
12223303232323,2.8223442,18.7536621,-0.569,0.375
12223313200200,3.4147247,21.1047363,-0.206,0.367
30010211001230,-5.7581050,26.9494629,-0.598,0.387
30010220223131,-9.6765684,22.8405762,-0.101,0.382
12232233023102,0.8459165,26.9934082,-0.760,0.378
30010033230301,-5.3644596,27.1911621,-0.340,0.404
30001301222323,-7.0027636,18.4020996,-0.396,0.360
30010031132021,-3.3927908,27.8063965,-0.435,0.360
30010001020031,-0.4064907,23.9831543,-0.852,0.392
30010232333020,-11.0598206,26.5539551,-0.464,0.370
30001121230233,-4.0286586,18.7097168,-0.389,0.376
30001210112031,-5.8455454,15.1940918,-0.740,0.356
30010012111131,-1.4610233,26.7077637,-0.393,0.394
30001032332213,-5.5613152,15.1940918,-0.349,0.359
30012101221001,-12.2219175,29.7399902,-0.194,0.361
30010201031030,-6.0203850,24.4885254,-0.639,0.386
12223321101130,2.7565043,19.3029785,-0.689,0.373
30001023231302,-5.3863356,13.2824707,-0.167,0.370
30001310331311,-6.7628064,21.0827637,-0.294,0.364
12232322330311,0.2526847,29.3444824,-0.421,0.390
30010232212222,-10.8225151,25.6750488,-0.416,0.373
30001120031220,-3.3050503,17.4133301,0.289,0.407
12232220010233,2.6467632,22.9284668,-0.268,0.378
30010210231013,-6.6973426,25.9167480,-0.345,0.387
12232202222103,2.9540126,22.6208496,-0.333,0.370
30001111011322,-0.1647947,21.7199707,-0.429,0.370
30001032312213,-5.2113056,15.1940918,-0.676,0.370
30010001201330,-0.8459165,24.2248535,-0.813,0.379
30010000320322,-1.2193903,23.3020020,-0.364,0.386
30001110031201,-0.4504348,20.2478027,-0.598,0.363
30010233102201,-10.0662199,27.4548340,0.008,0.366
30001122113011,-4.4011829,18.1823730,-0.538,0.380
30010200000211,-5.7143797,22.5769043,-0.370,0.378
12232320002123,2.5589632,28.2458496,-0.301,0.388
30001333111300,-9.8930985,22.4230957,-0.319,0.372
30010100103022,-0.2526847,29.0148926,-0.336,0.366
12223321200323,1.9442068,18.4020996,-0.661,0.371
30010100323101,-1.2413579,29.1247559,-0.424,0.407
12232320033101,2.2735730,28.7731934,-0.406,0.374
30010303022223,-7.7001044,29.5642090,-0.302,0.370
30001121010302,-2.9320690,18.7316895,-0.712,0.374
12223332100303,1.2852926,20.5114746,-0.499,0.356
30001133021130,-4.6202287,21.4123535,-0.626,0.382
12232303300303,3.3927908,30.3552246,-0.426,0.376
30010212323003,-8.2658549,26.2243652,-0.331,0.385
30010102033022,-2.0100856,28.6633301,-0.420,0.377
30010022231220,-5.4082108,23.0383301,-0.383,0.380
30010033230112,-5.2988268,27.2131348,-0.596,0.398
12223331113331,2.4931093,22.4890137,-0.341,0.377
12232211301232,4.7516240,27.6525879,-0.412,0.392
30010202203312,-8.0048367,22.8186035,-0.291,0.361
30010222210110,-10.4986143,22.9943848,-0.735,0.369
12232321302230,1.7904800,30.2893066,-0.287,0.378
12232222313101,0.5163504,23.8513184,-0.582,0.374
30001100333003,-1.2633253,18.1384277,-0.472,0.381
12232232002203,1.1095498,25.3454590,-0.650,0.375
12223330012330,2.4931093,20.1818848,-0.376,0.363
12223303332123,2.9101249,19.4567871,-0.137,0.383
30001311111103,-5.6487856,22.4450684,-0.486,0.380
12232303321220,3.0198411,30.4211426,-0.376,0.372
30001023321323,-5.4300853,13.6560059,-0.662,0.367
30001302123121,-7.5912178,17.8747559,-0.356,0.360
12232222112222,1.0656124,23.5656738,-0.397,0.383
12223313121303,3.7436712,22.0935059,-0.599,0.357
30001121222322,-4.2039864,18.3801270,-0.300,0.372
30010033223022,-5.5175751,26.9055176,-0.476,0.389
12232230200202,1.9881263,25.3234863,-0.823,0.376
12223313123111,3.6778914,22.1374512,-0.272,0.364
30010220203002,-9.3081485,22.6867676,-0.434,0.378
30010213000230,-7.1553996,26.7736816,-0.538,0.395
12223332311203,0.5822654,20.9509277,-1.057,0.362
30010102122011,-1.9442068,28.9050293,-0.650,0.398
12223303310100,3.5024552,19.4348145,-0.428,0.371
30010101220232,-1.2193903,29.5861816,-0.330,0.365
30010303002313,-7.3079846,29.6960449,-0.589,0.379
12232320002003,2.6028640,28.1579590,-0.486,0.389
30010320002321,-8.7222181,28.2458496,-0.622,0.372
30010221012232,-8.7439361,24.3127441,-0.500,0.374
30001031331330,-4.0067400,16.8420410,-0.854,0.379
30010220232220,-9.7631974,22.8625488,-0.390,0.381
30010212313231,-8.0265947,26.6198730,-0.350,0.380
30001013132300,-2.0320445,16.6223145,-0.592,0.383
12223303331321,3.0198411,19.6325684,-0.258,0.363
30010302220210,-8.1571180,28.1799316,-0.461,0.380
30001123222011,-5.4519589,18.3581543,-0.356,0.360
12232321112313,2.5150610,30.7507324,-0.140,0.368
12232230221121,1.7026302,25.6091309,-0.416,0.380
30001123032233,-4.9048867,18.7097168,0.030,0.380
30001131030132,-3.2392398,21.5881348,-0.297,0.372
12232303122120,3.6340356,30.3332520,-0.471,0.390
30001111122121,-0.5822654,21.9177246,-0.382,0.384
30001032212331,-5.2331870,14.5788574,-0.500,0.360
30010102102220,-1.7245930,28.8391113,-0.100,0.357
12232321320131,1.7026302,30.3991699,-0.367,0.369
30010102232133,-2.7126091,28.6413574,0.390,0.362
12232322132030,0.8239462,29.2346191,-0.265,0.378
30010033330122,-5.3425828,27.8723145,-0.788,0.377
30010022231320,-5.4082108,23.1262207,-0.103,0.380
30010033210202,-5.0362268,27.0812988,-0.643,0.402
30001311330312,-6.7846256,22.2912598,-0.442,0.376
30010102122023,-2.0100856,28.8610840,-0.267,0.363
12232212033133,3.6121068,26.0046387,-0.596,0.380
30010030211102,-3.5463174,25.9387207,-0.627,0.387
30010033231233,-5.4300853,27.3229980,-0.624,0.396
30001210100323,-5.7799663,14.8864746,-0.697,0.357
30001132132110,-4.7516240,20.8850098,-0.468,0.375
12232303302232,3.1734250,30.2893066,-0.607,0.390
12223313232020,2.9320690,21.4562988,-0.482,0.355
30012011122210,-11.7920798,27.4768066,-0.146,0.373
12232212120222,3.6998186,26.0266113,-1.033,0.380
30001031233223,-4.2039864,16.0290527,-0.829,0.364
30001301001121,-5.6706511,18.5778809,-0.723,0.366
30010201202210,-6.5882169,23.9611816,-0.304,0.384
12232231112112,2.6028640,27.9162598,-0.375,0.388
30001123311102,-4.9486696,19.6105957,-0.098,0.385
12223330020020,2.4052990,19.6984863,-0.554,0.366
30001032133300,-4.8392069,15.3918457,-0.612,0.364
30001032210113,-4.9486696,14.5788574,-0.312,0.375
30001120023110,-3.3489215,17.1936035,-0.663,0.378
30001120000122,-2.8881803,16.9738770,-0.427,0.383
30010031331320,-4.0067400,28.0480957,-0.446,0.365
30010200130320,-6.1077838,23.6535645,1.126,0.396
12223332021022,0.9777357,19.8742676,-0.403,0.366
12223330220131,1.7026302,19.8522949,-0.973,0.361
12232303213330,3.1953637,30.2014160,-0.505,0.377
30010213131102,-7.3951528,28.0480957,-0.743,0.383
30001123220010,-5.2769476,18.3361816,-0.565,0.363
30001122132313,-4.8611009,18.0944824,-0.388,0.368
30001032303321,-5.2331870,15.0622559,-0.430,0.364
12232321102102,2.6028640,30.3332520,-0.267,0.369
30001300230210,-6.7628064,17.2814941,-0.534,0.356
30010303003232,-7.3515708,29.7619629,-0.513,0.384
30010120121031,-3.2173020,29.0808105,-0.152,0.358
12232303033201,3.5901776,30.0915527,-0.115,0.377
30010210230320,-6.8064439,25.7629395,-0.507,0.388
30001333133332,-10.4770087,22.4670410,-0.029,0.362
12223321111212,2.6906608,19.5666504,-0.414,0.367
12223332100113,1.3731595,20.5554199,-0.529,0.357
30001102023223,-2.0979197,17.0837402,-0.907,0.369
30001211002111,-5.8018269,15.6335449,-0.006,0.354
30010232122001,-10.3257277,26.0485840,-0.571,0.367
30001123003220,-4.5326183,18.4680176,-0.286,0.385
12223323301310,0.6042368,19.3029785,-0.450,0.372
30001111003213,-0.2966295,21.3464355,-0.901,0.373
12223323112202,1.1095498,19.3469238,-0.605,0.364
12232321211113,2.0759616,30.2233887,-0.435,0.366
30001310121313,-6.0859354,20.7312012,0.171,0.362
30010233200023,-10.5634219,26.7517090,-0.218,0.366
30010210222312,-6.9591440,25.4553223,-0.579,0.385
12223331103313,2.5150610,22.1374512,-0.930,0.369
30010303230230,-8.2006163,29.9377441,-0.150,0.362
12223312221332,2.9978987,20.0061035,-0.484,0.369
30010032310203,-5.0362268,26.4001465,0.017,0.384
30001300133302,-6.2606973,18.2043457,-0.306,0.366
30010201222111,-6.8500775,24.0710449,-0.435,0.383
30012011120111,-11.5338520,27.5866699,-0.330,0.371
30001032310210,-5.0143386,15.1721191,0.082,0.370
30001023212032,-5.1675404,13.0627441,-0.252,0.365
30010022122320,-4.8829942,23.3020020,-0.510,0.393
12223333323023,0.0988769,22.0056152,-0.862,0.375
30012102120202,-13.0152618,28.8391113,-0.097,0.396
30010302322213,-8.3528229,28.9050293,-0.384,0.371
12223303320203,3.0417830,19.0173340,-0.431,0.371
12232303303203,3.2173020,30.4431152,-0.471,0.374
12223323312003,0.4943786,19.3688965,-1.154,0.373
30001033332031,-5.4957038,16.6003418,-0.698,0.365
12232231121003,2.4272521,27.6306152,-0.389,0.431
30012011300120,-11.9211029,27.5207520,-0.362,0.366
30001301102333,-5.9548266,19.1491699,-0.519,0.366
30001303022101,-7.5476555,18.4020996,-0.232,0.356
12223321013330,2.4931093,18.9514160,-0.774,0.377
12223310213110,4.7297265,20.3576660,-0.567,0.385
12223331133310,2.1857489,22.4670410,1.148,0.451
30010231211302,-9.2214045,27.3449707,-0.360,0.374
30010233122221,-10.4554016,27.4548340,-0.597,0.368
12232223312213,0.4064907,25.0378418,-0.607,0.381
30010320202112,-9.3081485,28.2678223,-0.456,0.385
30001103310202,-2.2296616,19.3469238,-0.801,0.358
30010322012103,-10.0013102,28.5974121,0.281,0.369
30010033210003,-4.9486696,27.1032715,-0.652,0.399
30001102132111,-1.9442068,18.0944824,-0.505,0.369
12232202312211,3.2392398,23.6315918,-0.739,0.377
30001123001033,-4.2916356,18.5339355,-0.330,0.374
30010231221131,-9.5032437,27.0593262,-0.685,0.379
12223333121232,0.8898568,22.0275879,-0.528,0.369
30001013301130,-2.1637921,16.4904785,-0.427,0.376
30001123332022,-5.5175751,19.3469238,-0.166,0.393
30001123221020,-5.3207052,18.4680176,-0.191,0.365
30001122331013,-5.2988268,18.1823730,-0.411,0.362
30001133330003,-5.2988268,22.1813965,-0.161,0.387
30001122010120,-4.2697242,17.3254395,-0.494,0.375
12223312223210,2.8881803,19.9182129,-0.544,0.367
12232230202112,1.9002862,25.4553223,-0.545,0.378
12232231123233,2.1198775,27.6745605,-0.398,0.385
30001123033110,-4.7516240,18.9514160,-0.453,0.375
30010100320221,-1.1974226,28.8610840,0.027,0.367
30001121203131,-3.7436712,18.6218262,-0.067,0.371
30010303022311,-7.6347758,29.6960449,-0.261,0.373
30001211111132,-5.6925158,16.8420410,-0.484,0.363
30001211010121,-5.6706511,15.9411621,-0.223,0.363
30001301101010,-5.6269192,19.2150879,-0.452,0.376
30001123002312,-4.5107140,18.4240723,-0.369,0.381
12232222230031,0.2966295,22.9284668,-0.371,0.372
30001032110233,-4.3792747,15.1940918,1.289,0.476
12232321300323,1.9442068,30.3552246,-0.426,0.367
30001133320232,-5.4300853,21.8518066,-0.438,0.371
12232321321021,1.7026302,30.4431152,-0.877,0.390
30001023230032,-5.3425828,13.0627441,-0.136,0.362
