quadkey,latitude,longitude,rwi,error
12223320113133,2.5589632,18.2702637,-0.017,0.334
30001022103232,-4.5545219,12.1838379,-0.028,0.335
30001010212112,-0.9118267,14.5568848,-0.229,0.333
30001021232032,-4.1163273,13.0627441,0.039,0.371
12223231231213,1.6367402,16.0729980,-0.685,0.339
30001022121000,-4.5764249,12.1398926,-0.509,0.353
30001100211013,-0.7360637,17.4792480,-0.695,0.335
30001022122202,-4.8611009,11.9641113,-0.288,0.450
30001012212302,-2.4052990,14.5129395,-0.677,0.326
12223302331212,3.0417830,18.1604004,-0.782,0.336
30001020310021,-3.5682478,12.3376465,-0.471,0.336
30001022010203,-4.3354564,11.6345215,-0.467,0.328
30001013012310,-1.6806671,15.9631348,-0.385,0.336
30001021332322,-4.2039864,13.8098145,0.139,0.335
30001022120231,-4.7078283,12.0300293,0.094,0.508
30001022031201,-4.6640299,11.8103027,0.493,0.470
30001100102100,-0.1867672,17.6770020,-0.684,0.335
30001013010032,-1.4829887,15.8752441,-0.742,0.334
30001023011333,-4.3792747,13.3483887,0.115,0.328
12223230330333,1.5928123,15.2819824,-0.088,0.382
30001023103101,-4.4011829,13.6560059,-0.313,0.326
12223302123232,3.5243866,17.8088379,-0.918,0.334
12223303023231,3.5463174,18.5339355,-1.159,0.341
30001030221012,-3.8971380,14.2932129,-0.230,0.327
12223233003223,1.0656124,15.6774902,-0.055,0.394
30001020323011,-4.0505767,12.2058105,0.141,0.334
30001021223013,-4.0724942,12.9089355,-0.113,0.328
30001020333010,-4.0505767,12.5354004,-0.748,0.327
12223302033123,3.6121068,17.5231934,-1.376,0.333
30001021323211,-4.1382430,13.6120605,-0.832,0.327
30001022033102,-4.7735207,11.8762207,1.104,0.439
30001021232302,-4.1601581,13.1066895,-0.181,0.329
30001020222303,-4.1601581,11.3708496,-0.305,0.335
30001012210123,-2.1857489,14.5349121,-0.477,0.331
12223320113301,2.5370123,18.2263184,-0.770,0.333
30001021312031,-3.7436712,13.7878418,-0.134,0.325
12223320121003,2.4272521,17.7868652,-0.477,0.333
30001100010111,-0.0109863,17.3913574,-0.707,0.333
12223233222323,0.0109863,15.5895996,-0.068,0.330
30001011012033,-0.2526847,15.8972168,-0.838,0.331
30001021332022,-4.1163273,13.7219238,-0.424,0.327
12223303220030,3.1076060,18.3361816,-0.773,0.336
30001022103032,-4.4669035,12.1838379,-0.228,0.333
12223303221102,3.1295462,18.5559082,-0.797,0.355
30001011220103,-1.0875811,15.5895996,-0.561,0.331
30001021101011,-2.8223442,13.6120605,-0.529,0.323
30001030222202,-4.1601581,14.0734863,-0.759,0.328
30001021112332,-3.1514858,13.8537598,-0.270,0.321
30001020322003,-4.0724942,11.9860840,-0.260,0.326
30001020102101,-2.9978987,12.0739746,-0.175,0.467
30001020231222,-4.0286586,11.7883301,-0.262,0.328
12223303220122,3.0856655,18.3801270,-0.585,0.344
30001021223033,-4.1163273,12.9089355,-0.169,0.328
12223320332030,1.5269188,17.9846191,-0.909,0.345
30001020333121,-4.0944111,12.6013184,-0.435,0.328
12223231232101,1.5708481,15.9411621,-0.016,0.355
12223303221103,3.1295462,18.5778809,-0.497,0.340
30001020222301,-4.1382430,11.3708496,-0.650,0.333
12223233220212,0.2307123,15.5236816,-0.605,0.328
30001021301323,-3.6778914,13.6560059,-0.518,0.324
30001011231200,-1.1534865,16.0070801,-0.307,0.364
30001032110031,-4.2697242,15.1940918,0.807,0.435
30001013032212,-2.0540032,15.8752441,-0.321,0.336
30001022121301,-4.6640299,12.2497559,-0.688,0.331
30001030002023,-3.0637244,14.0954590,-0.578,0.322
12223320213033,1.8563646,17.4792480,-0.410,0.336
30001013031201,-1.8563646,16.0290527,-0.371,0.337
