quadkey,latitude,longitude,rwi,error
30013110130100,-11.5338520,43.3410645,0.117,0.514
30013111220132,-12.2863336,43.7365723,1.148,0.629
30013110112302,-11.4692577,43.3410645,0.020,0.482
30013110311021,-11.9211029,43.4509277,0.110,0.499
30013110112132,-11.4261866,43.3850098,-0.112,0.542
30013110112321,-11.4907908,43.3630371,-0.636,0.482
30013111320121,-12.2648633,44.4177246,-0.298,0.487
30013110130012,-11.5553801,43.2971191,-0.741,0.520
30013110112003,-11.3831090,43.2751465,0.057,0.535
30013111302312,-12.1574857,44.4396973,0.002,0.633
30013111220021,-12.2648633,43.6267090,-0.334,0.485
30013111222101,-12.3936586,43.7145996,0.085,0.489
30013111221230,-12.3507339,43.8244629,-0.184,0.503
30013110133021,-11.7490585,43.4509277,-0.169,0.510
30013110130300,-11.6199546,43.3410645,-0.549,0.523
30013111321012,-12.2433913,44.5275879,-0.384,0.596
30013110132003,-11.7275454,43.2751465,0.596,0.627
30013110130222,-11.6845141,43.2531738,1.510,0.657
30013111321212,-12.3292689,44.5275879,0.236,0.502
30013110130120,-11.5769066,43.3410645,-0.202,0.499
30013111321002,-12.2433913,44.4836426,-0.410,0.501
30013111220321,-12.3507339,43.7145996,0.223,0.481
30013110112023,-11.4261866,43.2751465,-0.018,0.602
30013110130032,-11.5984314,43.2971191,-0.347,0.499
30013110133223,-11.8565990,43.4509277,0.051,0.559
30013110112030,-11.4046486,43.2971191,0.084,0.602
30013111321022,-12.2863336,44.4836426,-0.434,0.588
30013110112210,-11.4477230,43.2971191,-0.165,0.574
30013111320012,-12.2433913,44.3518066,0.609,0.556
30013110131222,-11.6845141,43.4289551,-0.091,0.504
30013111213323,-12.2004420,44.2419434,0.323,0.560
30013110112231,-11.4907908,43.3190918,0.507,0.615
30013110132022,-11.7705700,43.2531738,0.468,0.583
30013110133000,-11.7060306,43.4289551,0.085,0.521
30013111220313,-12.3292689,43.7585449,-0.392,0.480
30013111213332,-12.2004420,44.2639160,0.419,0.611
30013110112013,-11.3831090,43.3190918,-0.158,0.559
30013110132201,-11.7920798,43.2751465,0.670,0.613
30013111320010,-12.2219175,44.3518066,-0.427,0.495
30013111303022,-12.1145226,44.4836426,-0.123,0.479
30013110311030,-11.9211029,43.4729004,-0.228,0.553
30013110130131,-11.5769066,43.4069824,-0.227,0.493
30013110112322,-11.5123222,43.3410645,-0.067,0.505
30013111320000,-12.2219175,44.3078613,-0.328,0.480
30013111221231,-12.3507339,43.8464355,0.004,0.481
30013110311001,-11.8781020,43.4509277,-0.021,0.623
30013110132020,-11.7490585,43.2531738,0.457,0.609
30013110132023,-11.7705700,43.2751465,0.115,0.584
30013110123133,-11.7705700,43.2312012,-0.436,0.510
30013110112312,-11.4692577,43.3850098,0.000,0.577
30013111220212,-12.3292689,43.6486816,-0.296,0.537
30013110130110,-11.5338520,43.3850098,-0.123,0.548
30013110123113,-11.7275454,43.2312012,0.673,0.631
30013111321221,-12.3507339,44.5056152,-0.127,0.535
30013111321230,-12.3507339,44.5275879,0.068,0.561
30013111303221,-12.1789647,44.5056152,-0.063,0.533
30013110133230,-11.8350943,43.4729004,-0.173,0.581
30013111220030,-12.2648633,43.6486816,0.006,0.490
30013110130130,-11.5769066,43.3850098,-0.265,0.577
30013110112201,-11.4477230,43.2751465,0.220,0.578
30013111320111,-12.2219175,44.4616699,-0.038,0.550
30013110130333,-11.6845141,43.4069824,-0.251,0.683
30013110132233,-11.8565990,43.3190918,0.377,0.628
30013110112103,-11.3831090,43.3630371,-0.520,0.603
30013110130102,-11.5553801,43.3410645,-0.299,0.483
30013110130223,-11.6845141,43.2751465,0.608,0.601
30013111321032,-12.2863336,44.5275879,-0.442,0.523
30013110132232,-11.8565990,43.2971191,-0.772,0.606
30013110112332,-11.5123222,43.3850098,0.340,0.617
30013111220023,-12.2863336,43.6267090,-0.263,0.612
30013111220210,-12.3078021,43.6486816,-0.053,0.547
30013110310111,-11.8781020,43.4069824,0.393,0.616
30013111321023,-12.2863336,44.5056152,-0.093,0.500
30013111302301,-12.1360050,44.4177246,0.932,0.646
30013110311102,-11.8996033,43.5168457,-0.312,0.492
30013111303200,-12.1360050,44.4836426,-0.283,0.478
30013111220323,-12.3721972,43.7145996,1.035,0.603
30013110132230,-11.8350943,43.2971191,0.423,0.603
30013110132000,-11.7060306,43.2531738,1.408,0.662
30013110130001,-11.5338520,43.2751465,0.835,0.657
30013111302223,-12.2004420,44.3298340,-0.609,0.580
30013111220123,-12.2863336,43.7145996,-0.436,0.522
30013110130112,-11.5553801,43.3850098,-0.168,0.563
30013111302303,-12.1574857,44.4177246,0.550,0.629
30013110133233,-11.8565990,43.4948730,0.668,0.627
30013110112212,-11.4692577,43.2971191,0.115,0.578
30013111220130,-12.2648633,43.7365723,0.434,0.592
30013110130230,-11.6629959,43.2971191,-0.359,0.570
30013110112313,-11.4692577,43.4069824,0.012,0.530
30013111303203,-12.1574857,44.5056152,-0.454,0.506
30013111321021,-12.2648633,44.5056152,-0.209,0.513
30013111321203,-12.3292689,44.5056152,0.014,0.576
30013110112032,-11.4261866,43.2971191,0.395,0.614
30013111302333,-12.2004420,44.4616699,-0.138,0.624
30013110310110,-11.8781020,43.3850098,0.947,0.654
30013111320122,-12.2863336,44.3957520,0.003,0.541
30013110133221,-11.8350943,43.4509277,0.167,0.568
30013110132002,-11.7275454,43.2531738,0.476,0.632
30013110132210,-11.7920798,43.2971191,-0.852,0.509
30013111302331,-12.1789647,44.4616699,-0.142,0.558
30013111221213,-12.3292689,43.8464355,-0.023,0.488
30013110112101,-11.3615678,43.3630371,0.113,0.508
30013111220032,-12.2863336,43.6486816,-0.301,0.594
30013111320310,-12.3078021,44.4396973,0.238,0.544
30013110112303,-11.4692577,43.3630371,-0.123,0.481
30013110130220,-11.6629959,43.2531738,-0.006,0.614
30013111303223,-12.2004420,44.5056152,0.220,0.589
30013111321010,-12.2219175,44.5275879,0.098,0.571
30013111321202,-12.3292689,44.4836426,-0.132,0.561
30013111221233,-12.3721972,43.8464355,-0.537,0.496
30013110130132,-11.5984314,43.3850098,0.494,0.591
30013111213333,-12.2004420,44.2858887,0.195,0.574
30013110123131,-11.7490585,43.2312012,0.140,0.629
30013110112323,-11.5123222,43.3630371,-0.702,0.513
30013111321232,-12.3721972,44.5275879,-0.364,0.482
30013111221220,-12.3507339,43.7805176,-0.422,0.509
30013110130013,-11.5553801,43.3190918,-0.099,0.498
30013111302320,-12.1789647,44.3957520,0.529,0.636
30013110130210,-11.6199546,43.2971191,0.271,0.544
30013110132212,-11.8135879,43.2971191,0.094,0.639
30013110112310,-11.4477230,43.3850098,0.192,0.566
30013111320110,-12.2219175,44.4396973,-0.161,0.556
30013110130303,-11.6414761,43.3630371,-0.034,0.586
30013111220320,-12.3507339,43.6926270,-0.035,0.491
30013111220122,-12.2863336,43.6926270,-0.283,0.482
30013110112223,-11.5123222,43.2751465,0.316,0.572
30013110130212,-11.6414761,43.2971191,0.279,0.568
30013110130121,-11.5769066,43.3630371,-0.497,0.499
30013110130123,-11.5984314,43.3630371,-0.170,0.518
30013110130313,-11.6414761,43.4069824,0.021,0.518
30013110112221,-11.4907908,43.2751465,0.090,0.584
30013111321000,-12.2219175,44.4836426,-0.218,0.500
30013111303201,-12.1360050,44.5056152,-0.129,0.500
30013110133203,-11.8135879,43.4509277,-0.222,0.560
30013110112033,-11.4261866,43.3190918,-0.499,0.611
30013111321200,-12.3078021,44.4836426,0.080,0.590
30013110112333,-11.5123222,43.4069824,-0.093,0.489
30013110310113,-11.8996033,43.4069824,-0.270,0.622
30013110130201,-11.6199546,43.2751465,0.425,0.584
30013110311012,-11.8996033,43.4729004,-0.054,0.574
30013111302233,-12.2004420,44.3737793,-0.292,0.478
30013110130202,-11.6414761,43.2531738,0.293,0.608
30013111220031,-12.2648633,43.6706543,-0.337,0.586
30013110133023,-11.7705700,43.4509277,-0.112,0.544
30013110311002,-11.8996033,43.4289551,0.116,0.603
30013111321201,-12.3078021,44.5056152,0.389,0.588
30013111302232,-12.2004420,44.3518066,0.193,0.594
30013111221232,-12.3721972,43.8244629,-0.499,0.482
30013110311013,-11.8996033,43.4948730,-0.086,0.581
30013110123111,-11.7060306,43.2312012,-0.128,0.676
30013110311100,-11.8781020,43.5168457,0.124,0.537
30013111220311,-12.3078021,43.7585449,-0.562,0.563
30013111220201,-12.3078021,43.6267090,0.274,0.591
30013110130312,-11.6414761,43.3850098,0.182,0.573
30013110112102,-11.3831090,43.3410645,-0.075,0.590
30013110133202,-11.8135879,43.4289551,-0.978,0.497
30013110130211,-11.6199546,43.3190918,-0.406,0.527
30013111321223,-12.3721972,44.5056152,-0.149,0.478
30013110112122,-11.4261866,43.3410645,-0.146,0.483
30013111302310,-12.1360050,44.4396973,0.455,0.605
30013110130203,-11.6414761,43.2751465,0.477,0.596
