quadkey,latitude,longitude,rwi,error
03321313003302,14.9978516,-23.6315918,-0.401,0.544
03321132221331,16.8360897,-24.9719238,-0.349,0.546
03321313001221,15.1463690,-23.6975098,0.257,0.561
03321132323223,16.6467178,-24.4006348,0.075,0.578
03321313012000,15.1039461,-23.5437012,-0.281,0.585
03321132203213,17.0252724,-25.0598145,1.487,0.644
03321312120120,14.8917045,-24.5104980,0.190,0.600
03321312120111,14.9341696,-24.4445801,0.418,0.570
03321132200333,17.1512882,-25.1477051,-0.450,0.549
03321313003310,15.0190747,-23.5876465,0.356,0.536
03321132230202,16.8571194,-24.9499512,-0.226,0.520
03321313001020,15.2311894,-23.7194824,0.055,0.562
03321133323033,16.7309063,-22.9504395,0.090,0.618
03321313100212,15.1675773,-23.1481934,0.056,0.596
03321313012202,14.9978516,-23.5437012,0.148,0.554
03321133323012,16.7729866,-22.9724121,0.057,0.597
03321313003233,14.9553991,-23.6535645,-0.119,0.601
03321313011311,15.1887835,-23.2141113,-0.551,0.543
03321312120112,14.9129381,-24.4665527,0.107,0.552
03321313003320,14.9766264,-23.6315918,-0.921,0.568
03321313003033,15.0402957,-23.6535645,-0.891,0.509
03321132230231,16.8360897,-24.8840332,-0.169,0.599
03321313001333,15.1251586,-23.5656738,-0.352,0.562
03321313012221,14.9766264,-23.5217285,0.839,0.576
03321313000110,15.2735868,-23.7634277,0.751,0.614
03321313001200,15.1887835,-23.7194824,0.161,0.576
03321313030011,14.9341696,-23.4777832,-0.004,0.605
03321312103321,14.9766264,-24.3127441,-0.709,0.541
03321132203021,17.0882909,-25.1037598,-0.549,0.548
03321313010220,15.1463690,-23.5437012,0.752,0.618
03321313003110,15.1039461,-23.5876465,-0.180,0.566
03321312121103,14.9129381,-24.3127441,-0.453,0.492
03321313000113,15.2523892,-23.7414551,0.502,0.609
03321132202120,17.0882909,-25.2136230,-0.601,0.526
03321313000132,15.2099875,-23.7634277,-0.351,0.481
03321313021110,14.9341696,-23.5876465,0.199,0.563
03321313012200,15.0190747,-23.5437012,0.649,0.591
03321311130322,16.1408153,-22.7526855,-0.232,0.588
03321312121013,14.9129381,-24.3566895,-0.161,0.494
03321312121120,14.8917045,-24.3347168,-0.294,0.645
03321313010222,15.1251586,-23.5437012,0.470,0.609
03321313100230,15.1463690,-23.1481934,-0.150,0.532
03321313001032,15.2099875,-23.6755371,-0.319,0.580
03321313012020,15.0615146,-23.5437012,-0.215,0.552
03321313003211,15.0190747,-23.6535645,-0.440,0.498
03321313001021,15.2311894,-23.6975098,-0.520,0.532
03321313002130,15.0615146,-23.7634277,0.249,0.608
03321311223221,15.3159757,-23.6975098,-0.553,0.593
03321132201203,17.1932744,-25.1037598,0.123,0.572
03321132202021,17.0882909,-25.2795410,-0.392,0.454
03321313001320,15.1463690,-23.6315918,0.211,0.583
03321313100102,15.2523892,-23.1042480,-0.142,0.472
03321132202322,16.9832482,-25.2136230,-0.454,0.452
03321312031211,14.8492310,-24.7082520,0.464,0.600
03321313003100,15.1039461,-23.6315918,0.534,0.588
03321132202013,17.1092924,-25.2355957,-0.443,0.588
03321132202101,17.1302914,-25.1916504,-0.484,0.450
03321132220000,16.9622326,-25.3015137,-0.017,0.586
03321313001332,15.1251586,-23.5876465,0.016,0.582
03321312121201,14.8492310,-24.4006348,-0.393,0.552
03321313003230,14.9766264,-23.6755371,-0.445,0.492
03321313100223,15.1251586,-23.1701660,-0.084,0.590
03321313001312,15.1675773,-23.5876465,-0.088,0.575
03321132203130,17.0882909,-24.9938965,-0.277,0.474
03321312103200,15.0190747,-24.4226074,0.247,0.580
03321132201232,17.1512882,-25.0817871,0.138,0.560
03321132203001,17.1302914,-25.1037598,-0.243,0.565
03321132203112,17.1092924,-24.9938965,-0.192,0.598
03321132202100,17.1302914,-25.2136230,-0.091,0.452
03321312103303,14.9978516,-24.3127441,0.086,0.586
03321313012023,15.0402957,-23.5217285,-0.503,0.564
03321310110013,16.6046096,-24.1809082,-0.402,0.465
03321132201320,17.1722825,-25.0378418,0.497,0.581
03321313001230,15.1463690,-23.6755371,0.179,0.559
03321311123330,15.9930146,-22.8845215,0.333,0.544
03321311130233,16.1408153,-22.7746582,-0.432,0.471
03321310101030,16.5835521,-24.3786621,-0.575,0.530
03321312121033,14.8704688,-24.3566895,-0.148,0.577
03321313001211,15.1887835,-23.6535645,-0.594,0.518
03321313011312,15.1675773,-23.2360840,-0.290,0.573
03321313003121,15.0615146,-23.6096191,0.944,0.588
03321132221310,16.8781467,-24.9938965,0.884,0.638
03321312121210,14.8492310,-24.3786621,-0.659,0.519
03321313001321,15.1463690,-23.6096191,-0.215,0.543
03321132221312,16.8571194,-24.9938965,0.186,0.590
03321132323332,16.6467178,-24.2907715,-0.328,0.551
03321132230201,16.8781467,-24.9279785,-0.388,0.536
03321313003003,15.0827314,-23.6975098,0.233,0.604
03321313001223,15.1251586,-23.6975098,-0.214,0.575
03321132203013,17.1092924,-25.0598145,0.547,0.529
03321313100122,15.2099875,-23.1042480,-0.088,0.580
03321312121300,14.8492310,-24.3347168,0.361,0.585
03321313000131,15.2311894,-23.7414551,0.500,0.595
03321313000111,15.2735868,-23.7414551,0.912,0.628
03321132221320,16.8360897,-25.0378418,-0.226,0.551
03321132230322,16.8150577,-24.8620605,-0.018,0.481
03321132201212,17.1932744,-25.0817871,1.244,0.589
03321132230220,16.8360897,-24.9499512,-0.238,0.585
03321310101013,16.6046096,-24.3566895,-0.382,0.548
03321132221301,16.8781467,-25.0158691,0.575,0.604
03321313021011,14.9341696,-23.6535645,-0.620,0.587
03321133323302,16.6888167,-22.9284668,-0.047,0.561
03321132201322,17.1512882,-25.0378418,-0.175,0.580
03321132323322,16.6467178,-24.3347168,0.428,0.584
03321133323112,16.7729866,-22.8845215,-0.110,0.580
03321312102313,14.9978516,-24.4445801,-0.096,0.601
03321313001313,15.1675773,-23.5656738,-0.044,0.561
03321132202012,17.1092924,-25.2575684,-0.119,0.568
03321313012201,15.0190747,-23.5217285,0.572,0.574
03321132203102,17.1092924,-25.0378418,-0.280,0.506
03321312121023,14.8704688,-24.4006348,-0.241,0.556
03321132230221,16.8360897,-24.9279785,0.025,0.601
03321310110010,16.6256648,-24.2028809,-0.376,0.497
03321313001231,15.1463690,-23.6535645,0.232,0.589
03321313001202,15.1675773,-23.7194824,-0.311,0.560
03321132202131,17.0882909,-25.1477051,-0.294,0.496
03321132201223,17.1512882,-25.1037598,0.835,0.589
03321132202110,17.1302914,-25.1696777,-0.146,0.572
03321133323030,16.7519476,-22.9724121,0.405,0.608
03321313100001,15.2735868,-23.1701660,-0.034,0.552
03321132203203,17.0252724,-25.1037598,-0.489,0.586
03321313030010,14.9341696,-23.4997559,1.243,0.631
03321312121021,14.8917045,-24.4006348,-0.207,0.570
03321313012010,15.1039461,-23.4997559,-0.629,0.480
03321132202311,17.0462809,-25.1477051,-0.653,0.494
03321313001233,15.1251586,-23.6535645,0.817,0.577
03321312102331,14.9766264,-24.4445801,0.025,0.639
03321313000333,15.1251586,-23.7414551,-0.371,0.500
03321313030012,14.9129381,-23.4997559,1.126,0.641
03321132202111,17.1302914,-25.1477051,0.128,0.560
03321310111022,16.5624922,-24.0710449,-0.169,0.484
03321313001301,15.1887835,-23.6096191,0.125,0.633
03321313003030,15.0615146,-23.6755371,-0.191,0.534
03321313012001,15.1039461,-23.5217285,0.330,0.559
03321312031302,14.8279911,-24.6862793,-0.482,0.584
03321312031032,14.8704688,-24.7302246,0.408,0.583
03321313001033,15.2099875,-23.6535645,0.105,0.630
03321311130320,16.1619207,-22.7526855,-0.492,0.555
03321132203000,17.1302914,-25.1257324,0.010,0.611
03321313000133,15.2099875,-23.7414551,0.012,0.531
03321311130230,16.1619207,-22.7966309,-0.369,0.532
