quadkey,latitude,longitude,rwi,error
30001000332121,-1.2852926,12.4255371,-0.181,0.401
12223222201011,0.6921218,11.5026855,-0.191,0.400
12223222020200,0.9557662,11.2609863,-0.726,0.399
30000110303130,-0.9337965,9.4592285,-0.426,0.404
30001003011211,-1.5049538,13.2604980,0.153,0.538
12223222023310,0.7800052,11.5686035,-0.075,0.427
30001003102221,-1.7245930,13.3923340,-0.321,0.479
30000111210101,-0.7140928,10.3161621,-0.092,0.430
30000110212111,-0.8898568,8.9538574,-0.328,0.413
30000111031033,-0.4284628,10.4479980,0.018,0.400
12223220210011,2.0979197,11.6784668,-0.255,0.376
30001001221303,-1.1754546,12.9528809,-0.252,0.408
30001000332303,-1.3511931,12.4255371,-0.631,0.394
30000111221001,-1.0656124,10.0524902,-0.254,0.407
12223220203313,1.8124418,11.5905762,-0.439,0.384
12223222023301,0.7800052,11.5466309,0.350,0.607
12223220032130,2.2296616,11.7443848,-0.016,0.380
12222332312202,0.4064907,9.5031738,1.329,0.524
30001002111300,-1.5049538,12.5793457,-0.208,0.389
12223220221310,1.6587038,11.5686035,-0.731,0.388
30001003102021,-1.6367402,13.3923340,-0.114,0.452
30001002201210,-2.2077054,11.4807129,-0.110,0.546
12223222023101,0.8678867,11.5466309,-0.046,0.476
12223222220033,0.2746571,11.3269043,-0.813,0.451
12222333120230,0.9118267,10.6018066,-0.177,0.380
30000111203113,-0.9118267,10.1843262,0.163,0.392
12223222220111,0.3405742,11.4147949,-0.310,0.444
30001001231323,-1.2193903,13.3044434,-0.297,0.382
30001000133220,-0.6701507,12.4914551,0.036,0.399
30001001330331,-1.1974226,13.8757324,-0.270,0.450
30001003013300,-1.6806671,13.2824707,-0.089,0.389
12223220230223,1.5928123,11.6345215,-0.356,0.384
12223222221003,0.3186019,11.4587402,-0.403,0.433
30001001132123,-0.6042368,13.8317871,-0.429,0.389
12223222020020,0.9997051,11.2609863,-0.302,0.487
30001010201031,-0.7580345,14.3151855,-0.903,0.386
30001003011121,-1.4610233,13.3044434,-0.331,0.388
30001000213303,-0.9997051,11.8981934,-0.410,0.404
30000111030123,-0.4284628,10.3161621,-0.220,0.429
30000111200330,-0.8459165,9.9865723,-0.682,0.401
30000111210000,-0.7140928,10.2062988,-0.446,0.535
