quadkey,latitude,longitude,rwi,error
03333133303230,5.9985331,-0.4724121,-0.402,0.357
03333132010013,6.9809543,-2.3840332,1.180,0.508
03333123111321,6.8718928,-2.8674316,0.176,0.373
03333310002221,5.2988268,-2.7795410,0.342,0.505
03333133311021,6.2606973,-0.1428223,-0.448,0.359
12222022003332,6.6755194,0.3186035,-0.045,0.439
03333111031301,10.7361753,-0.7580566,-0.523,0.332
03333130222013,7.1553996,-2.7355957,-0.178,0.341
03333132331013,5.9329721,-1.5051270,-0.322,0.348
03333133121202,6.5445599,-0.5163574,-0.454,0.353
03333131211001,7.7001044,-0.8459473,0.058,0.342
03333123132220,6.3480564,-3.1530762,-0.515,0.300
03333111300022,10.4121830,-0.6921387,0.002,0.400
12222000222200,9.8714518,0.0109863,-0.574,0.321
03333121331031,7.3079846,-2.9113770,-0.781,0.304
03333310011110,5.6050520,-2.1423340,-0.467,0.343
03333132302101,6.1296313,-1.9885254,-0.448,0.334
03333123311130,6.2606973,-2.8454590,-0.215,0.417
03333133202231,5.9985331,-1.3293457,-0.399,0.336
03333311012302,5.3207052,-0.9558105,0.106,0.405
03333111300032,10.4121830,-0.6481934,-0.393,0.317
03333111022332,10.4986143,-1.2634277,-0.261,0.306
03333113230013,8.7222181,-0.9777832,-0.837,0.308
03333133321313,5.8455454,-0.3625488,0.465,0.408
03333132333132,5.7143797,-1.4392090,-0.455,0.345
03333110213213,10.1960002,-2.2082520,-0.316,0.309
03333110023031,10.6066195,-2.5598145,-0.119,0.318
03333311101210,5.5175751,-0.4724121,0.964,0.488
03333132032301,6.3917304,-2.3400879,-0.041,0.364
03333132302112,6.1077838,-1.9665527,-0.584,0.340
03333310121303,5.1456567,-1.8127441,-0.512,0.348
03333121332301,7.0899903,-3.0432129,-0.469,0.319
03333113203132,8.8525066,-1.0876465,-0.711,0.328
12222022030330,6.5227299,0.4943848,0.138,0.410
12222022210333,6.1514779,0.5163574,-0.430,0.387
03333112021123,9.3731925,-2.5158691,-0.867,0.309
03333130232102,7.1553996,-2.3620605,-0.782,0.311
12222022230233,5.8018269,0.4284668,-0.418,0.442
03333131021233,7.8960294,-1.1535645,-0.364,0.310
12222022300220,6.1733235,0.7141113,-0.605,0.348
03333111111202,11.0598206,-0.1647949,-0.186,0.382
12222022221203,5.8455454,0.2087402,-0.063,0.401
03333133210030,6.2606973,-0.9997559,0.073,0.359
03333113002023,9.5465832,-1.3732910,-0.336,0.340
03333132012303,6.7191648,-2.3400879,-0.538,0.324
12222002002233,9.4598988,0.0769043,0.045,0.309
12222022320022,5.8892605,0.7141113,-0.284,0.391
03333132011331,6.8718928,-2.1203613,-0.732,0.399
12222020010113,8.3745618,0.5163574,-0.329,0.313
03333133220030,5.9111167,-1.3513184,0.828,0.471
03333110223221,9.8281543,-2.6037598,0.137,0.410
03333132132220,6.3480564,-1.7468262,-0.640,0.353
03333130032031,7.8307313,-2.3840332,-0.522,0.326
03333110020332,10.6714043,-2.6696777,-0.414,0.322
03333310030022,5.1894234,-2.4499512,-0.566,0.334
03333130332111,7.1772006,-1.5930176,-0.355,0.341
03333132122123,6.4135660,-1.9885254,0.094,0.342
03333133202201,6.0422360,-1.3732910,-0.993,0.334
03333113103122,9.5465832,-0.4284668,-0.715,0.300
03333133210123,6.2388552,-0.9338379,-0.082,0.423
03333110200230,10.3473437,-2.7575684,-0.422,0.302
12222022231320,5.8236865,0.6262207,0.481,0.456
03333133130323,6.5008990,-0.2307129,-0.243,0.331
03333132111023,6.9373327,-1.5490723,-0.378,0.389
03333133213020,6.0859354,-0.8679199,0.029,0.373
03333113221221,8.6136097,-1.1975098,-0.741,0.316
12222022230230,5.8236865,0.4064941,-0.209,0.351
03333132132001,6.4790672,-1.7248535,-0.658,0.348
12222022303311,6.0422360,1.0437012,0.162,0.399
03333131023120,7.8307313,-1.1315918,-0.428,0.334
03333130303200,7.4387304,-1.9226074,-0.611,0.410
03333110021333,10.6714043,-2.4719238,0.496,0.380
03333132021200,6.5663889,-2.6257324,-0.139,0.318
12222000200200,10.3905714,0.0109863,-0.120,0.318
03333131201332,7.5476555,-1.0876465,-0.334,0.323
03333133332012,5.7581050,-0.2966309,0.188,0.442
03333310121321,5.1237722,-1.8127441,-0.670,0.348
03333310011113,5.5831840,-2.1203613,-0.086,0.346
12222020221133,7.2861900,0.3405762,-0.344,0.368
03333110330221,10.0013102,-1.7248535,-0.729,0.305
03333113220103,8.7222181,-1.2854004,-0.789,0.311
03333133301010,6.3043786,-0.4724121,0.642,0.432
03333132223020,5.7362428,-2.6257324,-0.949,0.328
03333130203102,7.5040887,-2.5378418,-0.147,0.345
03333311010113,5.5831840,-0.8898926,-0.037,0.371
03333132303222,5.9766803,-1.9226074,0.391,0.443
03333133000211,6.9155204,-1.3293457,-0.093,0.363
03333133332301,5.6925158,-0.2307129,1.379,0.455
03333131012203,8.1136149,-1.0217285,-0.610,0.310
03333131213200,7.4387304,-0.8679199,-0.449,0.340
03333113011221,9.6549077,-0.8459473,-0.326,0.405
12222020032132,7.8089630,0.4943848,-0.500,0.426
03333123313201,6.0422360,-2.9553223,-0.553,0.309
03333113203120,8.8742168,-1.1315918,-0.666,0.372
03333130330123,7.2861900,-1.6369629,-0.783,0.356
03333111031002,10.8009324,-0.8679199,0.947,0.499
12222022303112,6.1077838,1.0217285,-0.072,0.373
12222022312031,6.0859354,1.1315918,0.197,0.437
03333131130133,7.9830776,-0.1867676,-0.350,0.314
03333310123013,5.0581143,-1.8566895,-0.318,0.348
03333111031303,10.7145865,-0.7580566,-0.260,0.360
03333132302313,6.0203850,-1.9445801,-0.244,0.403
03333310022132,5.0143386,-2.6696777,-0.098,0.404
12222020013000,8.2223637,0.5383301,-0.100,0.324
03333123112103,6.8064439,-3.0432129,-0.359,0.324
03333133133100,6.4790672,-0.0769043,-0.412,0.326
03333132113320,6.6973426,-1.4831543,0.496,0.470
03333112230113,8.7222181,-2.2961426,-0.618,0.344
