quadkey,latitude,longitude,rwi,error
03332110302303,10.1960002,-13.2385254,-0.373,0.236
03332111112312,10.8872536,-11.4587402,-0.664,0.232
03333001100310,11.0813844,-8.9978027,-0.356,0.262
03333002013123,9.5465832,-10.6018066,-0.883,0.228
03333001311101,10.4770087,-8.4924316,-0.724,0.238
03333001021310,10.7361753,-9.5251465,-0.049,0.244
03333001110002,11.1460662,-8.7780762,-0.330,0.329
03332101331012,10.1094859,-14.1833496,-0.223,0.253
03330332112330,12.2433913,-12.8649902,-0.746,0.238
03333002303322,8.7656527,-10.2722168,-0.365,0.223
03330332220210,11.4261866,-14.0075684,-0.487,0.248
03332110211210,10.3905714,-13.4802246,-0.871,0.254
03330332232320,11.2107336,-13.6120605,-0.643,0.240
03332111021032,10.7577626,-12.4255371,-0.477,0.234
03332111002220,10.8656756,-12.6452637,-0.347,0.233
03332111030302,10.7145865,-12.2058105,-0.488,0.276
03333003310231,8.9610451,-8.7121582,-0.647,0.234
03332110130000,10.8225151,-12.9968262,-0.056,0.281
03331223320333,11.3615678,-8.9758301,-0.837,0.264
03332110111022,11.1029466,-12.8210449,-0.401,0.248
03332111220230,10.0013102,-12.6013184,-0.246,0.225
03332111101310,11.0813844,-11.6345215,-0.516,0.248
03331223322320,11.2107336,-9.0417480,-0.255,0.237
03330332330312,11.4046486,-12.8649902,-0.480,0.233
03332101102220,10.8656756,-14.7546387,-0.288,0.270
03333001333301,9.8714518,-8.4924316,-0.616,0.242
03333002120233,9.2864645,-10.4699707,-0.563,0.245
03330332101012,12.5223904,-13.1286621,0.131,0.272
03330332113113,12.3507339,-12.6672363,-0.433,0.254
03331223330210,11.4261866,-8.7341309,-0.390,0.268
03330333233013,11.3184804,-12.0520020,0.255,0.327
03330333213320,11.5553801,-12.0300293,-0.510,0.241
03332111012320,10.8656756,-12.2058105,-0.538,0.246
03333021310211,7.6129974,-8.7121582,-0.451,0.237
03331222123220,11.8996033,-10.3601074,-0.949,0.256
03332111112001,10.9951198,-11.5686035,-0.221,0.238
03332111330032,10.0662199,-11.5466309,-0.757,0.226
03333000202313,10.1960002,-11.0852051,-0.489,0.233
03330332012113,12.3507339,-13.5461426,-0.664,0.238
03330333320321,11.3831090,-11.8322754,-0.412,0.239
03332101112103,10.9735497,-14.2932129,-0.218,0.334
03333030023133,7.8089630,-8.0969238,-0.308,0.252
03331223322220,11.2107336,-9.1296387,0.095,0.309
03332112011133,9.7198857,-13.3703613,0.204,0.367
03332112121300,9.3515125,-13.0847168,-0.246,0.242
03332101130033,10.7577626,-14.3371582,-0.602,0.259
03330333033203,11.9211029,-12.0959473,-0.368,0.246
03333003302312,8.8090822,-8.9978027,-0.728,0.235
03330333300203,11.7490585,-11.9201660,-0.488,0.279
03333001010312,11.0598206,-9.3493652,-0.747,0.263
03331222222311,11.2538371,-11.0852051,-0.029,0.243
03331222203211,11.5984314,-10.9973145,-0.236,0.238
03330333230302,11.4046486,-12.2058105,-0.258,0.300
03332111013322,10.8440961,-12.0300293,-0.345,0.235
03331222200031,11.8135879,-11.1730957,-0.271,0.235
03332110313111,10.3041101,-12.6672363,-0.436,0.238
03332110122201,10.5634219,-13.3264160,-0.700,0.253
03333003231130,8.7004990,-9.1735840,-0.789,0.230
03332110130102,10.8009324,-12.9089355,-0.676,0.237
03333003230012,8.7222181,-9.4372559,-0.608,0.234
03333001320030,10.0878536,-9.0856934,-0.474,0.236
03332110302101,10.3041101,-13.2385254,-0.035,0.236
03333001033231,10.5202184,-9.2395020,-0.606,0.320
03333000233233,9.8065034,-10.6457520,-0.212,0.237
03332101121103,10.8009324,-14.4689941,-0.413,0.357
03333003002312,9.5032437,-9.7009277,-0.593,0.255
03332110110333,11.0166883,-12.8430176,-0.875,0.237
03330333311120,11.8135879,-11.3269043,-0.805,0.234
03333002111102,9.7631974,-9.9206543,-0.428,0.236
03333001110203,11.0598206,-8.7561035,-0.004,0.242
03332110013022,10.9304048,-13.5241699,-0.306,0.257
03333002121133,9.3731925,-10.2062988,-0.519,0.255
03333010002102,10.9735497,-8.3386230,-0.242,0.296
03332110320033,10.0662199,-13.2824707,0.125,0.260
03331223321202,11.4046486,-8.9538574,-0.923,0.287
03332110211033,10.4121830,-13.4582520,-0.099,0.238
03332112102101,9.6115820,-13.2385254,-0.060,0.268
03332112130013,9.4165483,-12.9309082,-0.425,0.336
03333002120322,9.2864645,-10.4479980,-0.397,0.229
03330333313330,11.5553801,-11.2829590,-0.561,0.235
03331222211030,11.8135879,-10.6677246,-0.323,0.260
03332110101003,11.1460662,-13.1506348,-0.422,0.235
03333001200121,10.4337931,-9.7229004,-0.717,0.263
03331223302133,11.6199546,-8.9758301,-0.243,0.296
03333012201310,9.0044514,-8.1188965,-0.464,0.257
03333001120103,10.8009324,-9.0197754,-0.206,0.255
03333002312100,8.9176335,-10.0964355,-0.587,0.234
03333003223213,8.4615055,-9.5910645,0.102,0.257
03332110300212,10.3689583,-13.3044434,-0.052,0.231
03332110300203,10.3689583,-13.3264160,-0.090,0.296
03332111010331,11.0382553,-12.1398926,-0.689,0.238
03333002323100,8.5701576,-10.2722168,-0.715,0.224
03331223211110,11.8565990,-9.1735840,-0.899,0.303
03332101131313,10.7145865,-14.0734863,-0.530,0.239
03332110120031,10.7793483,-13.2824707,-0.643,0.231
03333001200312,10.3689583,-9.7009277,-0.713,0.258
03333002330332,8.5918843,-10.0524902,-0.083,0.226
03333002333020,8.5267005,-10.0085449,-0.482,0.225
03331222203313,11.5769066,-10.9094238,-0.362,0.241
03332110030313,10.7145865,-13.5461426,-0.589,0.230
03332111211203,10.3689583,-12.0959473,1.148,0.464
03333003232220,8.4397714,-9.4812012,-0.538,0.231
03332110100231,11.0382553,-13.2824707,-0.719,0.234
03333001010130,11.1245072,-9.3493652,-0.775,0.269
03332110223321,9.8281543,-13.7658691,-0.263,0.238
03330333023230,11.8996033,-12.4255371,-0.749,0.257
03330333112121,12.3292689,-11.4807129,-0.280,0.237
03333012032302,9.1563324,-7.9870605,-0.123,0.355
03333012200112,9.0695511,-8.2946777,-0.512,0.238
03332111200211,10.3905714,-12.5793457,-0.552,0.232
03332110121031,10.7793483,-13.1066895,-0.453,0.234
03330333020333,12.0500648,-12.4914551,-0.511,0.238
03333002301102,9.0695511,-10.2722168,-0.673,0.243
03333003230002,8.7222181,-9.4812012,-0.616,0.234
03331222322230,11.2107336,-10.4919434,-0.470,0.264
03331223102220,12.2433913,-9.1296387,-0.701,0.230
03332110203120,10.2608706,-13.7878418,-0.281,0.237
03333002123112,9.2430925,-10.2282715,0.069,0.232
03332110310212,10.3689583,-12.9528809,-0.097,0.263
