quadkey,latitude,longitude,rwi,error
03330320201032,13.1650736,-16.6442871,-0.471,0.294
03330321013022,13.6780130,-14.9304199,-0.299,0.254
03330320130110,13.5712413,-15.6774902,-0.547,0.365
03330321120100,13.5712413,-14.6667480,-0.632,0.270
03330320130012,13.5498812,-15.7653809,0.081,0.281
03330321003101,13.7420528,-15.1721191,-0.551,0.257
03330320103333,13.5925995,-15.8312988,-0.467,0.257
03330320121111,13.5712413,-15.8312988,-0.437,0.316
03330320300110,13.2292507,-16.0290527,-0.231,0.324
03330320121001,13.5712413,-15.9631348,-0.526,0.252
03330321030131,13.5285192,-14.9523926,-0.904,0.343
03330320120110,13.5712413,-16.0290527,-0.314,0.265
03330320030132,13.5071552,-16.3806152,-0.752,0.270
03330321031300,13.4857894,-14.8425293,-0.319,0.281
03330330023021,13.3575541,-13.8537598,-0.488,0.254
03330330020310,13.4857894,-13.9196777,-0.304,0.255
03330320300000,13.2292507,-16.1608887,-0.467,0.276
03330320031111,13.5712413,-16.1828613,-0.485,0.250
03330321122122,13.3361750,-14.6667480,-0.543,0.264
03330321132332,13.2506393,-14.2712402,-0.608,0.379
03330320201131,13.1864679,-16.5344238,-0.695,0.269
03330330022013,13.3789314,-13.9855957,-0.862,0.319
03330321131103,13.5498812,-14.1174316,-0.382,0.265
03330321123132,13.3361750,-14.4470215,-0.046,0.402
03330320032030,13.3575541,-16.4685059,-0.465,0.291
03330320012222,13.5925995,-16.5124512,-0.621,0.260
03330321013123,13.6780130,-14.8205566,-0.784,0.257
03330320120211,13.4857894,-16.0949707,0.375,0.360
03330321021002,13.5498812,-15.2819824,-0.339,0.284
03330320102322,13.5925995,-16.0729980,-0.338,0.271
03330320131100,13.5712413,-15.5456543,-0.714,0.304
03330321031131,13.5285192,-14.7766113,-0.305,0.334
03330321120230,13.4430519,-14.7106934,-0.998,0.370
03330320030201,13.4857894,-16.4904785,-0.435,0.299
03330320022123,13.3361750,-16.7541504,-0.048,0.419
03330330022031,13.3575541,-13.9855957,0.118,0.294
03330320023321,13.2720261,-16.5783691,0.353,0.348
03330321003001,13.7420528,-15.2600098,-0.550,0.266
03330320021200,13.4857894,-16.6882324,0.650,0.387
03330320031212,13.4644216,-16.2927246,-0.782,0.281
03330321130221,13.4430519,-14.3811035,-0.732,0.256
03330321021222,13.4216803,-15.2819824,-0.420,0.280
