quadkey,latitude,longitude,rwi,error
03330322123320,11.8996033,-15.8972168,-0.432,0.346
03330323001202,12.4365763,-15.2819824,0.273,0.362
03330323020312,12.0930384,-15.3259277,-0.457,0.353
03330323120003,12.1789647,-14.7326660,-0.351,0.343
03330323033102,12.0070844,-14.8425293,-0.478,0.424
03330323231310,11.4261866,-14.7985840,-0.389,0.345
03330322133200,11.9426009,-15.6335449,0.221,0.467
03330322013112,12.3507339,-16.2048340,-0.408,0.348
03330323121031,12.1574857,-14.5129395,-0.438,0.340
03330321232210,12.6296178,-15.0622559,-0.479,0.358
03330323020022,12.1360050,-15.4577637,-0.320,0.343
03330322132313,11.9211029,-15.6555176,-0.366,0.399
03330332003013,12.3507339,-13.8098145,-0.107,0.343
03330322112113,12.3507339,-15.6555176,-0.141,0.349
03330322011233,12.3936586,-16.2707520,-0.195,0.361
03330322111310,12.4580325,-15.5017090,-0.420,0.346
03330323003122,12.3078021,-15.1940918,-0.557,0.344
03330323012331,12.2433913,-14.9523926,-0.405,0.345
03330323223321,11.2107336,-15.1721191,-0.580,0.347
03330323002310,12.2863336,-15.3259277,-0.373,0.358
03330323233232,11.1891794,-14.8864746,-0.441,0.376
03330323100311,12.4580325,-14.6008301,-0.605,0.344
03330323111121,12.5009395,-14.1174316,-0.278,0.342
03330323013331,12.2433913,-14.7766113,-0.446,0.342
03330322322010,11.3400249,-16.1169434,0.214,0.380
03330332002032,12.3078021,-14.0075684,-0.416,0.343
03330322013332,12.2219175,-16.2048340,-0.785,0.344
03330322123233,11.8781020,-15.9191895,-0.352,0.347
03330323020122,12.1360050,-15.3698730,-0.645,0.343
03330323201202,11.7490585,-15.2819824,-0.594,0.341
03330323230122,11.4477230,-15.0183105,-0.372,0.346
03330322031233,12.0500648,-16.2707520,-0.479,0.347
03330323020221,12.0715524,-15.4357910,-0.517,0.363
03330323121321,12.0715524,-14.4689941,-0.787,0.341
03330323302223,11.5338520,-14.7326660,-0.763,0.352
03330322012120,12.3292689,-16.4245605,-0.315,0.361
03330323000323,12.3936586,-15.3479004,-0.627,0.346
03330323122312,11.9211029,-14.6228027,-0.045,0.341
03330323103232,12.2219175,-14.5349121,-0.513,0.357
03330322112032,12.3078021,-15.7653809,-0.848,0.372
03330330223232,12.5652867,-13.8317871,-0.302,0.358
03330323003123,12.3078021,-15.1721191,-0.725,0.359
03330322123133,11.9640971,-15.8312988,-0.246,0.346
03330323120213,12.0930384,-14.6887207,0.386,0.354
03330323230002,11.4907908,-15.1062012,-0.827,0.344
03330323020003,12.1789647,-15.4357910,-0.418,0.342
03330332002113,12.3507339,-13.8977051,-0.576,0.343
03330323102311,12.2863336,-14.6008301,-0.264,0.341
03330321332331,12.5867322,-14.2492676,-0.495,0.346
03330322121310,12.1145226,-15.8532715,-0.831,0.368
03330323000222,12.3936586,-15.4577637,-0.544,0.347
03330322012103,12.3507339,-16.4025879,-0.432,0.347
03330323101023,12.4794869,-14.5568848,-0.344,0.343
03330323120302,12.0930384,-14.6667480,-0.695,0.340
03330321322030,12.6724962,-14.7106934,-0.276,0.349
03330323230312,11.4046486,-14.9743652,-0.423,0.345
03330321323120,12.6724962,-14.4909668,-0.536,0.350
03330323102312,12.2648633,-14.6228027,-0.572,0.341
03330323300112,11.8350943,-14.6228027,-0.483,0.341
03330332000331,12.4151184,-13.8977051,-0.442,0.343
03330321232302,12.6081759,-15.0183105,-0.724,0.348
03330323302002,11.6629959,-14.7546387,-0.638,0.342
03330322100223,12.3936586,-16.1389160,-0.643,0.346
03332101012001,10.9951198,-15.0842285,-0.595,0.348
03330323003221,12.2433913,-15.2600098,-0.603,0.343
03330322332300,11.2538371,-15.7214355,-0.184,0.343
03330321333323,12.5652867,-14.1174316,-0.589,0.345
03330322122200,11.9426009,-16.1608887,-0.675,0.346
03330322100321,12.4151184,-16.0510254,-0.065,0.425
03330322013010,12.3721972,-16.2927246,-0.127,0.360
03330322130303,12.0930384,-15.6994629,-0.448,0.429
03330323033103,12.0070844,-14.8205566,-0.726,0.341
03330321333311,12.6296178,-14.0734863,-0.518,0.345
03330322003313,12.2648633,-16.5344238,-0.148,0.350
03330322131011,12.2004420,-15.5676270,-0.671,0.345
03330323302122,11.6199546,-14.6667480,-0.223,0.343
03330323033131,11.9855916,-14.7766113,-0.788,0.340
03330332010220,12.4151184,-13.6999512,-0.693,0.360
03330323211010,11.8565990,-14.8864746,-0.465,0.342
03330322103333,12.2219175,-15.8312988,-0.268,0.346
03330323132112,12.0070844,-14.2712402,-0.110,0.341
03330323110230,12.4151184,-14.3591309,-0.636,0.343
03330322122101,12.0285754,-16.0510254,-0.619,0.393
03330332002020,12.3292689,-14.0515137,-0.755,0.344
03330321333233,12.5652867,-14.1613770,-0.774,0.359
03330323122300,11.9426009,-14.6667480,-0.957,0.341
03330323103123,12.3078021,-14.4689941,-0.631,0.343
03330323103103,12.3507339,-14.4689941,-0.686,0.343
03330332002331,12.2433913,-13.8977051,-0.154,0.342
03330322033213,11.9211029,-16.2707520,-0.546,0.347
03330332001001,12.5438394,-13.8537598,-0.057,0.341
03330322101231,12.4151184,-15.9191895,-0.215,0.346
03330322003003,12.3507339,-16.6662598,-0.165,0.364
03330323003333,12.2219175,-15.1281738,-0.554,0.345
03330322112011,12.3721972,-15.7434082,-0.812,0.352
03330323113232,12.2219175,-14.1833496,-0.565,0.341
03330323001233,12.3936586,-15.2160645,-0.503,0.383
03330323100232,12.3936586,-14.7106934,-0.775,0.345
03330332002033,12.3078021,-13.9855957,-0.446,0.357
03330322033032,11.9640971,-16.2927246,-0.412,0.349
03330322303213,11.5769066,-15.9191895,-0.315,0.361
03330322303212,11.5769066,-15.9411621,-0.147,0.345
03330322113310,12.2863336,-15.5017090,-0.329,0.343
03330321323321,12.5867322,-14.4689941,-0.374,0.363
03330323003111,12.3721972,-15.1281738,-0.816,0.407
03330321232300,12.6296178,-15.0183105,-0.674,0.349
03330323110122,12.4794869,-14.3151855,-0.396,0.346
03330323223211,11.2538371,-15.2160645,-0.484,0.347
03330322130030,12.1574857,-15.7653809,-0.998,0.360
03330323021311,12.1145226,-15.1281738,-0.948,0.408
03330321333322,12.5652867,-14.1394043,-0.595,0.345
03330323232031,11.2969342,-15.0402832,-0.338,0.347
03330323032011,12.0285754,-15.0402832,-0.716,0.408
03330323003113,12.3507339,-15.1281738,-0.548,0.344
03330323030332,12.0500648,-14.9743652,-0.507,0.359
03330323213331,11.5553801,-14.7766113,-0.526,0.447
03330322120001,12.2004420,-16.1389160,-0.381,0.344
03330323001210,12.4580325,-15.2380371,-0.880,0.363
03330323110011,12.5438394,-14.3371582,-0.197,0.348
03330323210103,11.8350943,-14.9963379,-0.628,0.343
03330323020103,12.1789647,-15.3479004,-0.619,0.343
03330323200012,11.8350943,-15.4138184,-0.376,0.355
03330322112200,12.2863336,-15.8093262,-0.662,0.349
03330332003020,12.3292689,-13.8757324,-0.164,0.356
03330322110222,12.3936586,-15.8093262,-0.453,0.419
03330323002202,12.2648633,-15.4577637,-0.592,0.367
03330323021323,12.0500648,-15.1721191,-0.224,0.346
03330323012200,12.2863336,-15.1062012,-0.324,0.343
03330323230020,11.4692577,-15.1062012,-0.714,0.344
03330323230333,11.3615678,-14.9523926,-0.747,0.359
03330322012202,12.2648633,-16.5124512,-0.439,0.348
03330323102320,12.2433913,-14.6667480,-0.581,0.342
03330323120112,12.1789647,-14.6228027,-0.415,0.356
03330322131130,12.1574857,-15.5017090,-0.197,0.343
03330323011130,12.5009395,-14.7985840,-0.708,0.343
03330322031332,12.0500648,-16.2048340,-0.458,0.347
03330323023102,12.0070844,-15.1940918,-0.576,0.345
03330323030211,12.1145226,-15.0402832,-0.518,0.343
03330323033100,12.0285754,-14.8425293,-0.587,0.422
03330323112220,12.2433913,-14.4030762,-0.597,0.342
03330323001330,12.4151184,-15.1501465,-0.264,0.361
03330322011330,12.4151184,-16.2048340,-0.254,0.463
03330323221210,11.4261866,-15.2380371,-0.588,0.343
03330322033322,11.8781020,-16.2487793,-0.524,0.347
03330322113031,12.3292689,-15.5676270,-0.646,0.361
03330332023100,12.0285754,-13.7878418,-0.704,0.347
03330323002110,12.3721972,-15.3259277,-0.557,0.345
03330332002021,12.3292689,-14.0295410,-1.264,0.343
03330322130111,12.2004420,-15.6555176,-0.642,0.345
03330330222212,12.6081759,-14.0075684,-0.462,0.344
03330322101233,12.3936586,-15.9191895,-0.602,0.415
03330322112211,12.2863336,-15.7434082,-0.472,0.350
03330323002001,12.3721972,-15.4357910,-0.622,0.345
03330322132011,12.0285754,-15.7434082,-0.649,0.370
03330323230032,11.4477230,-15.0622559,-0.612,0.346
03330323020320,12.0715524,-15.3698730,-0.463,0.369
03330323023032,11.9640971,-15.2380371,-0.469,0.344
03330323032210,11.9426009,-15.0622559,-0.824,0.344
03330323101300,12.4580325,-14.4909668,0.045,0.344
03330323020332,12.0500648,-15.3259277,-0.286,0.442
03330323032131,11.9855916,-14.9523926,-0.497,0.344
03330321323331,12.5867322,-14.4250488,-0.334,0.345
03330322100320,12.4151184,-16.0729980,-0.383,0.406
03330323113323,12.2219175,-14.1174316,-0.166,0.342
03330323022012,12.0070844,-15.4138184,-0.267,0.372
03330323103221,12.2433913,-14.5568848,-0.471,0.348
