quadkey,latitude,longitude,rwi,error
12222331331131,1.7026302,11.2390137,-0.876,0.318
12222330332221,1.4390576,9.5251465,-0.302,0.342
12222331302201,1.8344033,10.5798340,-0.671,0.320
12222331202021,1.8783255,9.8767090,0.372,0.446
12222331203123,1.8563646,10.1403809,-0.640,0.324
12222331321320,1.6147764,10.8215332,0.379,0.407
12222331211331,1.9661667,10.5358887,-0.026,0.322
12222331212000,1.9222467,10.2062988,-0.074,0.324
12222331332103,1.5488836,11.0192871,-1.167,0.322
12222312030211,3.7655967,8.8659668,0.862,0.477
12222312021320,3.7217452,8.7121582,1.228,0.460
12222332101302,1.2852926,9.4152832,0.080,0.334
12222330313133,1.8563646,9.8327637,-0.072,0.460
12222330133130,2.2296616,9.8107910,-0.360,0.344
12222331303013,1.9002862,10.7995605,-1.072,0.321
12222331200213,1.9881263,9.9206543,0.330,0.427
12222331202202,1.8124418,9.8547363,-0.253,0.453
12222331311032,2.0320445,11.1291504,-0.325,0.320
12223220200023,2.0320445,11.2829590,-0.294,0.435
12222331202031,1.8783255,9.9206543,-0.174,0.351
12222333100130,1.3511931,10.6896973,-0.777,0.324
12222333121103,1.0216743,10.8435059,-0.036,0.328
12223220202020,1.8783255,11.2609863,-0.420,0.333
12222331233010,1.5708481,10.4260254,-0.660,0.321
12222330313103,1.9002862,9.7888184,0.488,0.492
12222331233230,1.4390576,10.4260254,0.206,0.323
12222333011000,1.3951258,10.3820801,-0.671,0.323
12222331302133,1.8563646,10.7116699,-0.405,0.330
12222333120111,1.0436434,10.7116699,-0.118,0.333
12222312030221,3.7217452,8.8220215,0.457,0.443
12222331310132,2.0320445,11.0412598,-0.081,0.321
12223220220223,1.5928123,11.2829590,0.227,0.403
12222331210222,1.9442068,10.2062988,0.121,0.325
12222312210020,3.4585910,8.8000488,-0.483,0.341
12223220202023,1.8563646,11.2829590,-0.442,0.334
12222331330121,1.7026302,11.0192871,0.024,0.451
12222330313301,1.8344033,9.7888184,0.575,0.502
12222331213200,1.8344033,10.3820801,0.312,0.336
12222312201302,3.3927908,8.7121582,-0.595,0.339
12222312201122,3.4366581,8.7121582,0.232,0.337
12222312201301,3.4147247,8.7341309,0.255,0.325
12222331322220,1.4390576,10.5578613,0.111,0.508
12222331303102,1.9002862,10.8215332,-0.277,0.320
