quadkey,latitude,longitude,rwi,error
03333023222221,5.6487856,-9.8107910,-0.137,0.280
03333022010102,6.9809543,-10.7995605,-0.378,0.282
03333022113320,6.6973426,-9.9206543,-0.572,0.274
03333023000303,6.8937071,-9.7229004,-0.718,0.288
03333020300111,7.7001044,-10.3820801,-0.633,0.262
03333210302133,4.6640299,-7.5695801,-0.527,0.272
03333022010133,6.9373327,-10.7336426,-0.566,0.269
03333023031330,6.5227299,-9.1735840,-0.506,0.273
03333022310031,6.2606973,-10.1184082,-0.617,0.277
03333020111311,8.3093413,-9.8547363,-0.581,0.262
03333023013112,6.8064439,-9.1735840,-0.481,0.273
03333023101321,6.8718928,-8.8439941,-0.236,0.274
03333021230020,7.3079846,-9.4812012,-0.697,0.272
03333023021300,6.5663889,-9.5690918,-0.640,0.270
03333023200230,6.1733235,-9.7888184,0.041,0.396
03333022101321,6.8718928,-10.2502441,-0.269,0.270
03333023011201,6.9155204,-9.2834473,-0.421,0.270
03333021233230,7.0463790,-9.2614746,-0.391,0.276
03333023101330,6.8718928,-8.8220215,0.028,0.360
03333210210110,4.9048867,-7.9431152,-0.650,0.279
03333022121033,6.5882169,-10.2941895,-0.164,0.307
03333020333311,7.0899903,-9.8547363,-0.220,0.269
03333023020022,6.5882169,-9.8327637,-0.723,0.271
03333022003330,6.6973426,-10.9313965,-0.226,0.329
03333022330111,5.9548266,-10.0305176,-0.545,0.298
03333023211120,6.2606973,-9.2175293,-0.320,0.271
03333021231213,7.2425974,-9.2395020,-0.761,0.291
03333201133001,5.0800010,-8.5803223,-0.706,0.273
03333020333303,7.0681852,-9.8986816,-0.412,0.274
03332133111011,7.0027636,-11.3488770,-0.297,0.311
03333023020320,6.5227299,-9.7448730,-0.673,0.266
03333022101231,6.8718928,-10.2941895,-0.318,0.271
03333032002100,6.8282612,-8.3386230,-0.199,0.316
03332133113130,6.7846256,-11.2829590,-0.431,0.266
03333021221123,7.2861900,-9.5471191,-0.823,0.272
03333022033102,6.4572344,-10.6237793,0.050,0.316
03332133113131,6.7846256,-11.2609863,-0.614,0.268
03333022120212,6.5445599,-10.4919434,0.758,0.331
03333022031213,6.5445599,-10.6457520,-0.650,0.273
03333201011000,5.6050520,-9.3054199,-0.705,0.276
03333020333112,7.1553996,-9.8767090,-0.318,0.287
03333020103213,8.1136149,-10.2941895,-0.470,0.262
03333023013300,6.7409861,-9.2175293,-0.645,0.272
03333023221300,5.8674033,-9.5690918,-0.457,0.285
03333023200302,6.1951683,-9.7448730,-0.403,0.271
03333022103022,6.7628064,-10.3601074,-0.130,0.285
03333201031212,5.1456567,-9.2614746,-0.802,0.281
03333022012333,6.6755194,-10.7336426,-0.526,0.289
03333023200002,6.2825384,-9.8327637,-0.734,0.270
03333030222312,7.0681852,-8.2946777,-0.366,0.266
03333020232121,7.1335976,-10.7775879,-0.167,0.269
03333201123112,5.0581143,-8.8220215,-0.447,0.274
03333023022323,6.3262180,-9.7229004,-0.752,0.274
03333022311003,6.2825384,-9.9865723,-0.395,0.288
03333023300120,6.2606973,-9.0417480,-0.512,0.282
03333021233210,7.0899903,-9.2614746,-0.306,0.282
03333022331301,5.8674033,-9.8986816,-0.586,0.279
03333021021120,8.0048367,-9.5690918,-0.392,0.262
03333022000322,6.8500775,-11.1511230,-0.360,0.284
03333022033112,6.4572344,-10.5798340,-0.198,0.270
03333021323023,7.1117945,-8.9318848,0.017,0.290
03333021333111,7.1772006,-8.4484863,-0.283,0.269
03333021001013,8.3745618,-9.5910645,-0.214,0.269
03333023011233,6.8500775,-9.2395020,-0.450,0.278
03333020333103,7.1553996,-9.8986816,-0.562,0.274
03333021310113,7.6783293,-8.6242676,-0.530,0.265
03333020322212,7.0681852,-10.4919434,0.683,0.429
03333022121212,6.5445599,-10.3161621,-0.228,0.358
03333023001302,6.8937071,-9.5690918,-0.389,0.297
03333210212100,4.7297265,-7.9870605,-0.698,0.288
03333021203120,7.4823037,-9.5690918,-0.611,0.266
03333023220212,5.8455454,-9.7888184,-0.416,0.292
03333021311201,7.6129974,-8.5803223,-0.528,0.271
03333020220132,7.2861900,-11.1071777,-0.009,0.257
03333021003002,8.2006163,-9.6569824,-0.328,0.261
03333023302300,6.0422360,-9.0417480,-0.191,0.269
03333022032301,6.3917304,-10.7775879,1.310,0.433
03333022300333,6.1514779,-10.3820801,0.169,0.397
03333022331103,5.9329721,-9.8986816,-0.487,0.286
03333020223020,7.1335976,-11.0632324,-0.762,0.257
03333023003002,6.8064439,-9.6569824,-0.523,0.278
03333022102311,6.7409861,-10.3820801,-0.507,0.271
03333022013000,6.8282612,-10.7116699,-1.066,0.269
03333022110013,6.9809543,-10.1184082,-0.347,0.267
03333022111330,6.8718928,-9.8767090,-0.551,0.349
03333023103013,6.8064439,-8.8879395,-0.727,0.265
03333210212331,4.5983271,-7.9211426,-0.190,0.279
03333023033030,6.4354006,-9.2614746,-0.218,0.265
03333021210222,7.5476555,-9.4812012,-0.292,0.281
03333020221200,7.2643942,-11.0632324,-0.185,0.257
03333022131221,6.5227299,-9.9865723,-0.759,0.268
03333023333202,5.6706511,-8.6022949,-0.900,0.274
03333210122031,5.0362268,-7.6574707,-0.027,0.279
03333021232222,7.0245718,-9.4812012,0.458,0.433
03333030220322,7.1990006,-8.3386230,-0.475,0.271
03333032320020,5.9111167,-7.7233887,-0.910,0.274
03333023123100,6.4790672,-8.8659668,-0.361,0.296
03333020120101,8.0483515,-10.4260254,-0.376,0.259
03333022000333,6.8500775,-11.0852051,-0.496,0.265
03333023220230,5.8236865,-9.7888184,-0.233,0.322
03333020222230,7.0463790,-11.1950684,-0.224,0.263
03333022012020,6.7846256,-10.8874512,-0.571,0.272
03333020333330,7.0463790,-9.8767090,-0.616,0.275
03333022312010,6.1296313,-10.1403809,-0.263,0.320
03333023001321,6.8718928,-9.5471191,-0.473,0.272
03333022121012,6.6318701,-10.3161621,0.098,0.272
03333022311023,6.2388552,-9.9865723,-0.273,0.275
03333023202213,6.0203850,-9.7668457,-0.262,0.283
03333023031310,6.5663889,-9.1735840,-0.466,0.274
03333022033221,6.3480564,-10.6896973,0.588,0.405
03333023101220,6.8718928,-8.9538574,-0.157,0.267
03333023113132,6.7628064,-8.4704590,-0.608,0.266
03333022120011,6.6536952,-10.4699707,0.020,0.271
03333210322010,4.3792747,-7.6794434,-0.186,0.281
03333022112000,6.8282612,-10.1843262,-0.515,0.275
03333022331210,5.8674033,-9.9645996,0.174,0.357
03333021000021,8.3528229,-9.8107910,-0.586,0.261
03333210302113,4.7078283,-7.5695801,-0.165,0.272
03333020233000,7.1772006,-10.7116699,-0.236,0.271
03333023023203,6.3698938,-9.6350098,-0.454,0.369
03333020103211,8.1353671,-10.2941895,0.036,0.264
03333023110132,6.9373327,-8.6462402,-0.544,0.268
03333023110100,7.0027636,-8.6901855,-0.673,0.273
03333022131201,6.5663889,-9.9865723,-0.272,0.283
03333020110313,8.2875987,-10.0305176,-0.633,0.267
03333022031231,6.5227299,-10.6457520,0.019,0.275
03333023132000,6.4790672,-8.7780762,-0.497,0.276
03333201103303,5.3207052,-8.8439941,-0.736,0.279
03333021333121,7.1335976,-8.4924316,-0.795,0.275
03333023200101,6.3043786,-9.7229004,-0.411,0.276
03333023203000,6.1296313,-9.6569824,-0.818,0.271
03333020111221,8.2658549,-9.9865723,-0.505,0.260
03333023120120,6.6100440,-9.0417480,-0.416,0.275
03333023101013,6.9809543,-8.8879395,-0.557,0.274
03333023000331,6.8718928,-9.6789551,0.098,0.284
03333023120312,6.5445599,-8.9978027,-0.302,0.273
03333023220223,5.8018269,-9.8107910,-0.161,0.331
03333020313210,7.4387304,-9.9645996,-0.691,0.270
03333023032011,6.4790672,-9.4152832,0.146,0.273
03333022211030,6.2606973,-10.6677246,1.267,0.412
03333022130031,6.6100440,-10.1184082,-0.528,0.289
03333023313012,6.1077838,-8.5583496,-0.913,0.277
03333020121133,7.9830776,-10.2062988,-0.616,0.257
03333022330102,5.9329721,-10.0964355,-0.190,0.302
03333023013101,6.8282612,-9.1955566,-0.215,0.338
03333022012233,6.6755194,-10.8215332,-0.129,0.272
03333023101031,6.9591440,-8.8879395,-0.447,0.276
03333022311121,6.2606973,-9.8986816,-0.208,0.271
03333023222310,5.6925158,-9.7009277,-0.280,0.287
03333032223100,5.7799663,-8.1628418,-0.610,0.272
03333022031201,6.5663889,-10.6896973,-0.458,0.287
03333022033031,6.4354006,-10.6457520,-0.612,0.298
03333020103013,8.2006163,-10.2941895,-0.518,0.260
03333022031003,6.6318701,-10.6896973,0.151,0.305
03333023232331,5.6487856,-9.3273926,-0.605,0.354
03333021232210,7.0899903,-9.4372559,-0.309,0.267
03333022310103,6.2825384,-10.0744629,-0.298,0.303
03333022131002,6.6318701,-10.0085449,-0.308,0.269
03333022012103,6.8064439,-10.7775879,-0.814,0.277
03333201123113,5.0581143,-8.8000488,-0.725,0.289
03333210012032,5.3644596,-8.0310059,0.017,0.285
03333021333112,7.1553996,-8.4704590,-0.613,0.274
03333022123131,6.4354006,-10.2062988,-0.434,0.277
03333032231220,5.8236865,-7.8991699,-0.719,0.272
03333210003113,5.4082108,-8.0969238,-0.542,0.274
03333023012110,6.8282612,-9.3493652,-0.516,0.268
03333020223200,7.0899903,-11.0632324,-0.474,0.258
03333021223313,7.0681852,-9.5031738,-0.482,0.282
03333023221012,5.9329721,-9.6130371,-0.315,0.278
03333021203333,7.3733623,-9.5031738,-0.025,0.276
03333030222022,7.1117945,-8.4265137,-0.261,0.267
03333023101103,6.9809543,-8.8439941,0.357,0.398
03333023202113,6.1077838,-9.6789551,-0.784,0.273
03333030220221,7.2207995,-8.4045410,-0.601,0.272
03333022310032,6.2388552,-10.1403809,-0.611,0.271
03333210030230,5.1237722,-8.0310059,-0.305,0.295
03333022102202,6.7191648,-10.5358887,-0.133,0.273
03333023003023,6.7628064,-9.6350098,-0.603,0.271
03333022033103,6.4572344,-10.6018066,0.299,0.321
03333022033310,6.3917304,-10.5798340,-0.264,0.355
03333023021313,6.5445599,-9.5031738,-0.583,0.272
03333023111313,6.8937071,-8.4484863,-0.624,0.271
03333023202231,5.9985331,-9.7668457,-0.135,0.283
03333023113332,6.6755194,-8.4704590,-0.359,0.269
03333201001231,5.4738318,-9.5910645,0.128,0.432
03333023211230,6.1733235,-9.2614746,-0.607,0.283
03333023221223,5.8018269,-9.6350098,-1.038,0.284
