quadkey,latitude,longitude,rwi,error
03331322010030,12.5009395,-5.2185059,-0.500,0.262
03331303211231,14.4665962,-3.6145020,-0.920,0.270
03331232203131,11.6414761,-8.0969238,-0.681,0.327
03331222120031,12.1574857,-10.4699707,-0.229,0.249
03331301023130,16.0774856,-3.9001465,0.202,0.321
03331301201331,15.8239658,-3.8781738,-0.244,0.280
03331320320102,12.8653594,-4.8229980,-0.346,0.272
03331203213123,14.3601909,-9.1955566,-0.782,0.320
03330313111101,15.2735868,-11.3049316,-0.629,0.257
03331232102302,12.2648633,-7.6354980,-0.530,0.277
03331213333222,13.9340669,-5.7897949,-0.296,0.269
03331303023202,14.6579971,-4.0319824,-0.340,0.262
03331232102233,12.2219175,-7.6574707,-0.256,0.281
03331320322333,12.5652867,-4.7570801,-0.976,0.273
03331311323002,15.4219101,-0.5163574,-0.594,0.251
03331133213233,16.9832482,-0.8020020,-0.520,0.283
03331321001112,13.8914108,-3.9001465,-0.510,0.256
03333011103321,10.8656756,-6.0314941,-0.178,0.374
03330331102120,13.6993616,-11.8542480,-0.172,0.272
03333011021123,10.7577626,-6.7346191,-0.483,0.254
03331322032221,11.8996033,-5.2404785,-0.445,0.292
03331231220001,12.8867796,-6.9982910,-0.608,0.274
03331320223110,12.7153674,-5.3063965,-0.665,0.259
03331221001031,13.8700799,-9.5910645,-0.209,0.267
03331231210302,13.1222796,-6.5808105,-0.299,0.296
03331302223320,13.9553920,-5.3503418,0.356,0.509
03331230030021,13.5285192,-8.0529785,-0.214,0.323
03331320311012,13.2078602,-4.3395996,-0.495,0.255
03331320012020,13.6993616,-5.2624512,-0.028,0.294
03331213231202,14.1472288,-6.4929199,-1.086,0.301
03331220003212,13.6353101,-11.0192871,-0.352,0.263
03331320302302,12.9510290,-4.8229980,-0.543,0.263
03331212320233,14.1046123,-7.6574707,-0.479,0.276
03331232023313,11.9211029,-8.0969238,-0.631,0.265
03331232022303,11.9211029,-8.3166504,-0.150,0.262
03331202211313,14.4878712,-10.5578613,-0.635,0.296
03331232323003,11.3184804,-7.5256348,-0.158,0.288
03333100022211,10.5634219,-5.5480957,-0.019,0.256
03331202130122,14.8704688,-10.0964355,-0.030,0.282
03331320330101,12.8867796,-4.4494629,-0.636,0.259
12220022112310,17.7172934,1.1975098,-0.007,0.261
03331303203223,14.2750302,-4.0100098,-0.840,0.259
03331221311101,13.2292507,-8.4924316,-0.557,0.266
03331301232120,15.4007275,-3.7683105,-0.600,0.267
03331212311213,14.4878712,-7.1301270,-0.273,0.300
03331232233103,11.3184804,-7.7893066,-0.572,0.269
03331303200330,14.4665962,-4.0759277,-0.377,0.306
03331322121231,12.0715524,-4.6691895,-0.115,0.262
03331233011202,12.4365763,-6.4929199,-0.560,0.283
03333010030222,10.6714043,-8.0749512,-0.483,0.279
03331232330012,11.4907908,-7.3278809,-0.599,0.280
03331320323133,12.6510579,-4.5812988,-0.465,0.258
03331232202331,11.5553801,-8.2727051,-0.508,0.263
03331231321300,12.8010881,-6.0534668,-0.460,0.283
03331322223311,11.2538371,-5.2844238,-0.443,0.259
03331303302223,14.2750302,-3.4826660,-0.170,0.260
03331213012332,14.9553991,-6.5368652,-0.270,0.272
03331322102020,12.3292689,-4.9108887,-0.479,0.257
03331312011323,15.1251586,-2.1643066,-0.205,0.245
03331231313222,12.9081979,-5.7897949,-0.321,0.273
03331321011111,13.9127399,-3.5266113,-0.978,0.257
03331233331233,11.3615678,-5.7238770,-0.265,0.279
03331233333113,11.3184804,-5.6359863,0.534,0.434
03331230332211,12.6296178,-7.3059082,-0.744,0.296
03331322021212,12.0930384,-5.3942871,-0.600,0.260
03331231112213,13.6353101,-5.8996582,-0.449,0.311
03330313133201,14.6792536,-11.3928223,-0.812,0.268
03333011120123,10.7577626,-6.2072754,-0.530,0.287
03331322100201,12.4580325,-4.8889160,-0.806,0.260
03331312023232,14.6154780,-2.5817871,-0.529,0.249
12220200231321,15.4854449,0.6481934,-0.480,0.264
03331211220332,15.4642688,-6.8884277,-0.734,0.271
03331230110230,13.7847363,-7.3278809,-0.633,0.278
03331221200230,13.1008797,-9.7888184,-0.702,0.262
03331322021320,12.0715524,-5.3503418,-0.326,0.261
03331231103013,13.7207082,-6.0754395,0.397,0.363
03331230030101,13.5712413,-7.9650879,-0.324,0.302
03331321031123,13.5071552,-3.5705566,-0.661,0.257
03331301121311,16.2041247,-3.1750488,0.090,0.273
03331221213322,12.9081979,-9.2175293,-0.335,0.278
03331233001100,12.5438394,-6.7565918,-0.354,0.287
03331322011220,12.4151184,-5.0866699,-0.750,0.281
03333011023230,10.5202184,-6.8005371,-0.639,0.253
03331233123303,11.9211029,-6.0314941,-0.453,0.279
03331202023032,14.7005081,-11.0192871,-0.285,0.270
03331222031012,12.1789647,-10.6677246,-0.482,0.249
03331233301333,11.7060306,-5.9875488,-0.599,0.271
03331133230111,16.9622326,-0.8898926,-0.701,0.274
03331320212120,13.0152618,-5.1745605,-0.737,0.261
03331302300003,14.5729506,-4.8889160,-0.459,0.255
03331230211222,13.0794780,-7.8991699,-0.285,0.298
03331303210331,14.4665962,-3.7023926,-0.461,0.269
03331303231230,14.1259215,-3.6364746,-0.297,0.325
03331212320232,14.1046123,-7.6794434,-0.737,0.275
03331203311320,14.4665962,-8.5144043,-0.439,0.291
03333010131332,10.6714043,-7.0642090,-0.783,0.270
03331202222002,14.0619878,-11.2390137,-0.590,0.330
03331232021031,12.1574857,-8.1848145,-0.326,0.276
