quadkey,latitude,longitude,rwi,error
03331210331110,15.6124559,-7.0642090,-0.450,0.268
03330311011031,16.5835521,-12.0520020,-0.211,0.257
03331200201201,15.8662413,-11.0412598,-0.210,0.261
03330133210302,17.1932744,-12.2058105,-0.104,0.404
03331200133011,16.1197076,-9.9426270,-0.512,0.263
03330133332322,16.6467178,-11.5026855,-0.626,0.269
03331200110332,16.4782298,-10.0524902,-0.010,0.273
03331201312103,15.7605359,-8.6682129,-0.476,0.267
03330123032103,17.4449916,-14.9963379,-0.878,0.254
03330311110111,16.6256648,-11.4367676,0.475,0.374
03331211133300,16.0352546,-5.7019043,-0.316,0.257
03331210010213,16.5203656,-8.0090332,-0.183,0.264
03331201203330,15.6547754,-9.5251465,-0.397,0.266
03330311031211,16.2041247,-12.0520020,-0.166,0.258
03331201000032,16.5624922,-9.7888184,-0.837,0.259
03330300110121,16.5835521,-15.6994629,-0.358,0.261
03330133133001,17.4659524,-11.3928223,-0.258,0.265
03331210331000,15.6124559,-7.1960449,-0.677,0.270
03330300110322,16.4782298,-15.7214355,0.325,0.260
03330132202320,17.0042615,-13.9636230,-0.072,0.284
03330310130112,16.2674138,-12.8649902,-0.742,0.266
03331211220121,15.5701276,-6.9104004,-0.383,0.267
03312333030020,22.8673176,-12.2937012,-0.459,0.381
03331210313310,15.6970862,-7.0642090,-0.266,0.268
03330311202102,15.7605359,-12.5573730,-0.799,0.265
03330312111233,15.1251586,-12.7551270,-0.711,0.274
03331211321310,15.5277906,-6.0095215,-0.762,0.262
03331200002223,16.3095952,-11.2170410,-0.900,0.258
03330313010031,15.2311894,-12.2277832,-0.544,0.265
03330123000021,17.9264757,-15.4357910,0.019,0.331
03330133303220,17.0042615,-11.7663574,-0.573,0.264
03330123212212,17.0252724,-15.0622559,-0.391,0.259
03331200033233,15.9718913,-10.6457520,-0.481,0.270
03331210313300,15.6970862,-7.1081543,-0.176,0.274
03331200122333,15.9718913,-10.3820801,-0.799,0.263
03330132323322,16.6467178,-13.0847168,-0.550,0.263
03331201300212,15.8451046,-9.0856934,-0.314,0.267
03330123332201,16.7098626,-14.3811035,-0.469,0.261
03331201321030,15.5701276,-8.9099121,-0.111,0.265
03331200213112,15.7605359,-10.5798340,-0.811,0.267
03331032332001,16.7940233,-7.3498535,-0.009,0.264
03331211302201,15.6970862,-6.2951660,-0.865,0.263
03330123120333,17.4869108,-14.6008301,-0.433,0.305
03330132302232,16.9832482,-13.3044434,-0.329,0.258
03331210002121,16.4150090,-8.3166504,-0.130,0.264
03330311012020,16.4150090,-12.2937012,-0.667,0.274
03330311121013,16.2674138,-11.7004395,-0.691,0.258
03330123332320,16.6677684,-14.3151855,-0.649,0.276
03331200231122,15.5489602,-10.6237793,-0.020,0.266
03330310331130,15.5701276,-12.6892090,-0.564,0.265
03331210103221,16.3306825,-7.5256348,-0.422,0.266
03331211312013,15.7605359,-5.8996582,-0.684,0.260
03330132133022,17.4030627,-12.8210449,-0.718,0.255
03330133223223,16.6467178,-12.4475098,0.184,0.410
03331211213231,15.6547754,-6.4270020,-0.405,0.261
03330310030210,16.2041247,-13.6560059,-0.359,0.271
03331201221023,15.5489602,-9.6350098,-0.657,0.269
03330311002110,16.4571585,-12.5134277,-0.486,0.260
03330133022030,17.4240283,-12.6013184,-0.125,0.304
03331200200000,15.9507657,-11.2390137,-0.828,0.258
03331210013333,16.3095952,-7.7453613,-0.286,0.265
03331200023102,16.0985977,-10.9753418,-0.536,0.260
03330300030001,16.2885057,-16.4904785,-1.112,0.258
03331201023111,16.1197076,-9.5031738,-0.205,0.263
03331210211123,15.8873757,-7.7893066,-0.369,0.268
03330123310120,17.2562360,-14.3151855,-0.297,0.259
03330132212300,17.0462809,-13.6120605,-0.325,0.261
03330120323201,18.0518668,-15.9631348,1.375,0.364
03331211221003,15.5912928,-6.8225098,-0.970,0.280
03330311232223,15.2947823,-12.2717285,-0.786,0.266
03330311320300,15.5277906,-11.8542480,-0.721,0.263
03330311111120,16.5835521,-11.3269043,-0.535,0.269
03330123222313,16.6888167,-15.3039551,-0.531,0.262
03331200222132,15.3795428,-11.1071777,-0.964,0.263
03330133010200,17.8846589,-12.2937012,-0.719,0.260
03330122302231,17.0042615,-16.0949707,-0.014,0.323
03330112130000,20.2931131,-12.9968262,-0.227,0.243
03331201220212,15.5066188,-9.7888184,-0.717,0.284
03331022210001,17.2981985,-10.8654785,-0.847,0.262
03330311201331,15.8239658,-12.3156738,-0.753,0.262
03330131310311,18.5525320,-11.4367676,1.704,0.393
03330133300101,17.2981985,-11.8322754,-0.381,0.255
03330120323021,18.0936440,-15.9631348,0.735,0.366
03331201131331,16.1619207,-8.4484863,-0.881,0.265
03330123233123,16.7309063,-14.8205566,-0.582,0.262
03330133010302,17.8637468,-12.2058105,-0.359,0.260
03331201330033,15.5489602,-8.7121582,-0.724,0.283
03330310113002,16.4360849,-12.8210449,-0.553,0.280
03331022303121,17.0882909,-10.2502441,-0.474,0.258
03331210121011,16.2885057,-7.4816895,-0.478,0.265
03330123232302,16.6888167,-15.0183105,-0.171,0.264
03330311232122,15.3795428,-12.2058105,-0.651,0.280
03331200121220,16.1619207,-10.3601074,-0.595,0.261
