quadkey,latitude,longitude,rwi,error
12220203322011,14.0833011,2.1862793,-0.448,0.285
12220213121133,14.8704688,5.2624512,0.239,0.439
12220213312033,14.3601909,5.3503418,-0.390,0.304
12220330013211,13.6566625,9.0417480,-0.639,0.261
12220213213210,14.3389038,4.8010254,-0.594,0.268
12220330213313,12.9510290,9.1296387,-0.885,0.264
12220212231222,14.1046123,3.3508301,-0.870,0.267
12220230000221,13.7847363,2.8454590,-0.612,0.282
12220203222003,14.0619878,1.4392090,-0.515,0.269
12220312230130,14.2111385,8.9318848,-1.020,0.276
12220303022301,14.6792536,7.1520996,-0.594,0.278
12220321010313,13.8060751,7.5476074,-0.740,0.265
12220303210303,14.4878712,7.5036621,-0.994,0.263
12220302311222,14.4453192,6.8664551,-0.420,0.263
12220221201130,13.1864679,1.7248535,-0.770,0.271
12220212223100,14.0833011,3.0871582,-0.728,0.269
12220300232300,15.3583559,6.0754395,-0.260,0.265
12220213111212,15.1675773,5.5041504,-0.308,0.264
12220220301332,13.0794780,1.0217285,-0.576,0.275
12220303221031,14.2111385,7.2839355,-0.809,0.278
12220230020310,13.4857894,2.9553223,-0.541,0.315
12220123310003,17.2772184,8.1188965,-0.516,0.261
12220221132300,13.3147939,2.5598145,-0.813,0.308
12221220133303,13.2934109,12.6013184,0.286,0.328
12220320100011,13.9127399,6.4050293,-0.515,0.285
12220213333111,14.0833011,5.6140137,-0.541,0.270
12220221223101,12.7153674,1.7028809,-0.665,0.272
12220132022001,17.4659524,8.4704590,-0.552,0.259
12220230022010,13.4003068,2.8674316,-0.459,0.268
12220213311003,14.5729506,5.4821777,-0.197,0.266
12220312202332,14.2750302,8.5803223,-0.967,0.264
12220331112201,13.6566625,10.9313965,-0.491,0.268
12220321120133,13.5071552,7.8991699,-0.484,0.311
12220321101332,13.7633955,8.0529785,-0.275,0.394
12220221230000,12.8867796,1.7687988,-0.723,0.272
12220302322030,14.0406726,6.3830566,-0.199,0.267
12220312120230,14.8067491,9.1955566,-0.894,0.277
12220203300120,14.5516838,2.2082520,-0.732,0.269
12220302203323,14.2750302,5.9216309,-0.789,0.267
12220202122323,14.6154780,0.8239746,-0.793,0.271
12220121023103,18.7815164,7.3278809,-0.146,0.332
12220300210331,15.8239658,6.1413574,-0.444,0.271
12220312122101,14.7642589,9.2614746,-0.670,0.261
12220330111330,13.7847363,9.8107910,-1.108,0.265
12220230212022,12.9938527,3.1750488,-0.200,0.318
12220303301330,14.4665962,8.0529785,-0.933,0.289
12220312232011,14.0833011,8.8659668,-0.446,0.276
12220330133011,13.4003068,9.7448730,-0.432,0.279
12220301233322,15.2947823,7.6574707,-1.011,0.294
12221203231323,14.1046123,13.3044434,-0.641,0.266
12220232300102,11.8350943,3.6145020,-0.363,0.307
12220231001233,13.7633955,4.4714355,-0.589,0.301
12220302110120,15.2311894,6.7785645,-0.474,0.267
12220303130223,14.7855051,8.1188965,-1.220,0.265
12221220102210,13.6566625,12.0080566,-0.591,0.282
12220221101303,13.8060751,2.4060059,-1.040,0.267
12221220132221,13.2720261,12.3376465,-0.361,0.269
12220330231031,12.8439375,9.0417480,-1.056,0.281
12220232120211,12.1145226,3.5925293,-0.406,0.283
12220312032010,14.7642589,8.8439941,-0.087,0.260
12220302312000,14.4240402,6.6906738,-0.772,0.279
12220321030213,13.4644216,7.4597168,-0.988,0.265
12220321101001,13.9127399,7.9431152,-0.835,0.265
12220302331031,14.2111385,6.9323730,-0.262,0.264
12220302100103,15.2523892,6.4489746,-0.663,0.265
12220221002322,13.5925995,1.5051270,-0.385,0.271
12220211303203,15.6759319,5.1306152,-0.660,0.267
12220221310033,13.1650736,2.5378418,-0.267,0.269
12220213103110,15.1039461,5.2404785,-0.453,0.328
12220230322120,12.6724962,3.6145020,-0.316,0.272
12220232003111,12.3721972,3.1530762,-0.662,0.274
12220221122023,13.3361750,2.1423340,-0.352,0.318
12220330011001,13.9127399,8.9978027,-0.336,0.254
12220212013211,15.0190747,3.4167480,-0.806,0.293
12220330131020,13.5285192,9.6789551,-0.668,0.291
12220302222220,13.9553920,5.6359863,-0.607,0.272
12220230230131,12.8439375,3.3288574,-0.540,0.269
12220220111000,13.9127399,1.2414551,0.015,0.382
12220220100012,13.8914108,0.7580566,-0.747,0.283
12220303231231,14.1259215,7.6354980,-0.551,0.330
