quadkey,latitude,longitude,rwi,error
03330213310111,14.5942153,-17.0617676,-0.082,0.474
03330300123203,16.0141357,-15.9631348,-0.933,0.418
03330321331133,12.8225137,-14.0734863,-0.497,0.371
03330300311003,15.9296380,-15.6115723,-0.737,0.378
03330320210333,13.0794780,-16.3586426,-0.770,0.383
03330302203133,14.3601909,-16.5344238,-0.255,0.483
03330321210011,13.2292507,-15.0402832,-0.872,0.379
03330302131103,14.9129381,-15.5236816,-0.634,0.381
03330301203212,15.6759319,-15.2380371,-0.884,0.378
03330302300002,14.5729506,-16.1608887,-0.358,0.479
03330300223201,15.3583559,-16.6662598,-0.363,0.398
03330302032032,14.7005081,-16.4685059,0.529,0.487
03330301122003,16.0985977,-14.7326660,-0.816,0.381
03330302323001,14.0833011,-15.9631348,-0.353,0.424
03330320300323,13.0794780,-16.0510254,-0.639,0.387
03330310213013,15.7605359,-13.4582520,-0.214,0.576
03330302000212,15.1675773,-16.8200684,-0.597,0.437
03330330202030,13.0152618,-14.0075684,-0.671,0.369
03330303031112,14.9129381,-14.7985840,-0.862,0.387
03330303022332,14.6154780,-15.3259277,-1.156,0.382
03330322010123,12.4794869,-16.4025879,-0.240,0.402
03330321221002,12.8653594,-15.2819824,-0.103,0.482
03330303213310,14.3389038,-14.7985840,-0.889,0.386
03330300210103,15.9296380,-16.4025879,0.117,0.515
03330301113130,16.4150090,-14.0954590,-0.293,0.386
03330332111122,12.4794869,-12.7331543,-0.476,0.366
03330300203111,15.7816814,-16.5344238,0.174,0.431
03330310033010,16.1197076,-13.4802246,-0.293,0.400
03330313201201,14.5091441,-12.4475098,-0.358,0.372
03330302202201,14.3389038,-16.8420410,-0.473,0.413
03330302023313,14.6579971,-16.5344238,-0.632,0.410
03330320132222,13.2506393,-15.8093262,-0.865,0.369
03330330200221,13.1008797,-14.0295410,-0.585,0.388
03330312000002,15.2523892,-14.0515137,-0.521,0.430
03330331010103,13.8914108,-12.1838379,-0.663,0.376
03330321231000,12.8867796,-14.9304199,1.000,0.566
03330302123033,14.7005081,-15.9191895,-0.507,0.446
03330301100023,16.5624922,-14.7326660,-0.319,0.379
03330302333002,14.0619878,-15.6335449,-0.867,0.403
03330320332303,12.6081759,-15.6994629,-0.176,0.416
03330321223002,12.6939327,-15.2819824,-0.358,0.442
03330310320212,15.5066188,-13.3044434,-0.389,0.410
03330310033312,16.0141357,-13.3923340,0.278,0.530
03330320323110,12.7153674,-15.8532715,-0.154,0.423
