quadkey,latitude,longitude,rwi,error
03333020100121,8.3528229,-10.4260254,-0.390,0.264
03333020033101,7.8742645,-10.6018066,-0.689,0.255
03332113020212,9.3298312,-12.6013184,-0.544,0.256
03332113022232,9.1129444,-12.6013184,-0.448,0.261
03333002210203,8.9827489,-10.8654785,-0.460,0.257
03333020102122,8.1571180,-10.4479980,-0.441,0.255
03332113013002,9.5899171,-12.1179199,-0.394,0.289
03332113331101,8.7439361,-11.3049316,-0.571,0.262
03332131020303,7.9395558,-12.5354004,0.493,0.300
03333020021003,8.0265947,-11.0412598,-0.466,0.267
03332131212133,7.4605176,-12.1398926,-0.343,0.270
03333002201123,9.0261526,-10.9533691,-0.313,0.264
03332113132000,9.2647792,-11.5905762,-0.092,0.259
03332112133212,9.1563324,-12.7770996,-0.700,0.261
03332113032310,9.1780244,-12.1618652,-0.691,0.258
03332131010222,8.2441099,-12.2937012,-0.280,0.391
03332113012231,9.4815719,-12.2277832,-0.268,0.263
03332131100301,8.3093413,-11.8322754,-0.558,0.260
03332113231320,8.6136097,-12.0300293,-0.098,0.280
03332131311211,7.6129974,-11.3488770,-0.403,0.261
03332131212212,7.4169421,-12.2497559,-0.324,0.270
03333020011201,8.3093413,-10.6896973,-0.083,0.258
03332131300330,7.5694372,-11.8103027,-0.454,0.294
03333002020032,9.3731925,-11.1950684,-0.357,0.269
03333020220103,7.3297783,-11.1291504,-0.119,0.387
03332113212210,8.8307950,-12.2497559,-0.439,0.261
03333020100033,8.3310827,-10.4699707,-0.315,0.256
03332113320110,8.7439361,-11.8103027,-0.655,0.261
03333020022333,7.7218784,-11.0852051,-0.365,0.258
03332113203002,8.8959258,-12.4694824,-0.622,0.262
03332113332132,8.5049700,-11.4587402,-0.696,0.261
03332131123012,7.8524985,-11.7224121,-0.354,0.301
03333002212330,8.7873681,-10.7556152,-0.545,0.257
03332113323131,8.5267005,-11.6125488,-0.411,0.264
03332112303122,8.8525066,-13.0847168,-0.156,0.269
03332113331211,8.6570568,-11.3488770,-0.678,0.260
03332113123200,9.1780244,-11.7663574,-0.920,0.259
03333002220113,8.7222181,-11.0852051,-0.167,0.260
03333002221211,8.6570568,-10.9973145,0.377,0.352
03333020021232,7.8960294,-11.0192871,-0.112,0.265
03332113333302,8.4615055,-11.3269043,-0.206,0.261
03332113022013,9.2430925,-12.5793457,-0.431,0.266
03333002223010,8.5701576,-11.0192871,-0.557,0.264
03332131100013,8.3745618,-11.8762207,-0.214,0.330
03332131002131,8.1788678,-12.4914551,-0.552,0.263
03332112330130,8.7004990,-12.8649902,-0.544,0.262
03332113233130,8.5267005,-11.9860840,-0.533,0.286
03332113202311,8.8307950,-12.4914551,0.108,0.269
03332131120133,7.9830776,-11.7883301,-0.405,0.305
03332112321103,8.7222181,-13.0627441,-0.473,0.259
03332113331121,8.7004990,-11.3049316,-0.398,0.264
03333002221320,8.6136097,-10.9753418,0.129,0.407
03332112312222,8.7656527,-12.9968262,-0.450,0.259
03332113311212,8.9827489,-11.3708496,-0.515,0.261
03332131021220,7.9177932,-12.4694824,-0.553,0.263
03332131333200,7.0899903,-11.4147949,0.097,0.289
03332113331021,8.7004990,-11.3928223,-0.197,0.262
03333002200333,8.9393399,-11.0852051,-0.558,0.261
03332131113330,8.0918616,-11.2829590,-0.007,0.262
03332113300202,8.9827489,-11.9421387,-0.249,0.281
03332131032322,7.7218784,-12.2058105,-0.399,0.265
03332113212103,8.8959258,-12.1838379,-0.810,0.279
03332112131302,9.3298312,-12.7331543,-0.832,0.254
03332131001013,8.3745618,-12.4035645,-0.552,0.266
03333020032213,7.7654229,-10.8215332,-0.437,0.266
03332112133222,9.1129444,-12.8210449,-0.308,0.273
03333002232132,8.5049700,-10.7556152,-0.607,0.280
03332113033301,9.1780244,-12.0080566,-0.609,0.254
03332131330230,7.2207995,-11.5466309,0.046,0.254
03332131210113,7.6783293,-12.1398926,-0.498,0.266
03332131303103,7.5040887,-11.6564941,-0.436,0.266
03332131023021,7.8307313,-12.4475098,-0.450,0.264
03332131003312,8.1136149,-12.3376465,-0.564,0.263
03332112321222,8.5918843,-13.1726074,0.710,0.384
03332113320323,8.5918843,-11.8322754,-0.618,0.264
03332113130012,9.4165483,-11.5466309,-0.579,0.256
03332113312231,8.7873681,-11.5246582,-0.377,0.256
03333020012022,8.1571180,-10.8874512,-0.563,0.260
03332131320322,7.1990006,-11.8542480,-0.110,0.267
03332130131103,8.0265947,-12.7111816,-0.777,0.270
03332113120110,9.4382242,-11.8103027,-0.596,0.263
03333020023211,7.7871935,-10.9973145,-0.256,0.259
03332113220210,8.6570568,-12.6013184,-0.491,0.296
03332111332100,9.9580298,-11.5026855,-0.330,0.261
03332113020012,9.4165483,-12.6013184,-0.635,0.260
03332113230031,8.7004990,-12.2277832,0.587,0.415
03332131033213,7.7654229,-12.0520020,-0.689,0.261
03333002231323,8.5918843,-10.6018066,-0.483,0.254
03333002203311,8.8307950,-10.9094238,-0.517,0.259
03332112132203,9.1563324,-12.9748535,-0.211,0.262
03332131121200,7.9613173,-11.7663574,0.854,0.395
03332131303012,7.5040887,-11.7224121,-0.419,0.259
03333020011302,8.2875987,-10.6237793,-0.595,0.268
03332131101302,8.2875987,-11.6784668,-0.303,0.260
03332113020020,9.3948711,-12.6452637,-0.489,0.263
03332131030110,8.0483515,-12.1618652,-0.452,0.265
03332113032202,9.1563324,-12.2937012,-0.714,0.261
03332112301330,8.9610451,-13.0407715,-0.042,0.263
03333020003002,8.2006163,-11.0632324,-0.163,0.262
03332113323020,8.5267005,-11.7663574,-0.738,0.277
03333002231301,8.6570568,-10.6018066,-0.615,0.260
03332112303013,8.8959258,-13.1066895,0.121,0.266
03332130130221,7.9177932,-12.9748535,-0.590,0.271
03333020202111,7.5258726,-11.0852051,-0.353,0.261
03332130311123,7.6347758,-12.7111816,-0.377,0.274
03333002211010,9.0912484,-10.6677246,-0.466,0.254
03332113013223,9.4598988,-12.0959473,-0.350,0.257
03332113300031,9.0478525,-11.8762207,-0.134,0.262
03333020020321,7.9177932,-11.1291504,-0.608,0.267
03333002221333,8.5918843,-10.9094238,-0.351,0.259
03333002200231,8.9610451,-11.1730957,-0.429,0.258
03332131123330,7.7436512,-11.6345215,-0.600,0.263
03332113313312,8.8090822,-11.2829590,-0.433,0.261
03333020100303,8.2875987,-10.4260254,-0.502,0.252
03332113202332,8.7656527,-12.5134277,-0.338,0.264
03333002323202,8.4615055,-10.3601074,0.016,0.250
03332130110312,8.2875987,-12.8649902,-0.441,0.271
03333020003301,8.1353671,-10.9533691,-0.234,0.259
03332113021322,9.2864645,-12.3815918,-0.600,0.262
03332131021203,7.9395558,-12.4475098,-0.501,0.264
03333020031001,8.0483515,-10.6896973,-0.163,0.278
03332113320301,8.6570568,-11.8322754,-0.199,0.297
03332131311203,7.5912178,-11.3928223,-0.527,0.267
03332113331120,8.7004990,-11.3269043,-0.522,0.262
03332113321133,8.6787785,-11.6125488,-0.403,0.275
03333002002133,9.5465832,-11.0852051,-0.441,0.277
03332113020230,9.3081485,-12.6013184,0.010,0.271
03332113122022,9.1997151,-11.9421387,-0.564,0.255
03332131213100,7.5258726,-12.0300293,0.186,0.265
03332131121201,7.9613173,-11.7443848,0.927,0.383
03332113000330,9.6549077,-12.5134277,-0.534,0.251
03332131213030,7.4823037,-12.0739746,-0.347,0.272
03332131130310,7.9613173,-11.4587402,-0.493,0.265
03332131032231,7.7436512,-12.2277832,-0.083,0.264
03333002020102,9.4165483,-11.1511230,-0.116,0.272
03332131120222,7.8960294,-11.9421387,-0.477,0.263
03332131023032,7.8089630,-12.4255371,-0.454,0.266
03332131131220,7.9177932,-11.4147949,0.167,0.326
03332113302221,8.7873681,-11.9201660,-0.249,0.329
03332131311230,7.5694372,-11.3708496,-0.554,0.263
03332112320121,8.7004990,-13.2385254,0.287,0.394
03332131103212,8.1136149,-11.7224121,-0.627,0.294
03332131001303,8.2875987,-12.3596191,-0.280,0.262
03333020100112,8.3745618,-10.4040527,-0.186,0.267
03332131021031,8.0048367,-12.4035645,-0.526,0.268
03332131000112,8.3745618,-12.5134277,-0.553,0.276
03333020032133,7.8089630,-10.7336426,-0.395,0.255
03332113222023,8.5049700,-12.6232910,-0.143,0.263
03332113022300,9.1780244,-12.5573730,-0.580,0.258
03332131320003,7.3297783,-11.9201660,-0.598,0.264
03332131301203,7.5912178,-11.7443848,-0.236,0.263
03333020030022,7.9830776,-10.8874512,-0.524,0.273
03332131130010,8.0483515,-11.5466309,-0.460,0.263
03332131301233,7.5476555,-11.7004395,-0.569,0.263
03333002210021,9.0478525,-10.8654785,-0.305,0.260
03333020000013,8.3745618,-11.1730957,-0.201,0.263
03332113233000,8.5701576,-12.1179199,-0.459,0.265
03332112132213,9.1563324,-12.9309082,-0.045,0.281
03332113023123,9.1997151,-12.3596191,-0.546,0.269
03332112303112,8.8959258,-13.0407715,-0.215,0.310
03333002200020,9.0478525,-11.2390137,-0.340,0.264
03332131010022,8.3310827,-12.2937012,-0.235,0.263
03333020021312,7.9395558,-10.9313965,-0.571,0.259
03332131012123,8.1571180,-12.1838379,-0.146,0.276
03332113202331,8.7873681,-12.4914551,0.116,0.269
03332112321203,8.6353339,-13.1506348,-0.127,0.285
03332131103202,8.1136149,-11.7663574,-0.637,0.276
03332113333120,8.5267005,-11.3269043,-0.092,0.261
03332131321100,7.3515708,-11.6784668,-0.556,0.277
03332112301202,8.9827489,-13.1726074,-0.496,0.265
03332131113133,8.1571180,-11.2609863,-0.411,0.260
03332113212212,8.8090822,-12.2497559,-0.233,0.337
03332113021230,9.3081485,-12.4255371,-0.569,0.269
03332131301313,7.5912178,-11.6125488,-0.157,0.271
03332113313203,8.8090822,-11.3928223,-0.425,0.261
03332112310320,8.9610451,-12.9089355,-0.565,0.262
03332113031223,9.2864645,-12.0959473,-0.597,0.271
03333020100331,8.2658549,-10.3820801,-0.101,0.309
03332113021220,9.3081485,-12.4694824,-0.298,0.261
03332131013000,8.2223637,-12.1179199,-0.285,0.273
03332131323332,7.0245718,-11.6345215,0.267,0.261
03332113032302,9.1563324,-12.2058105,-0.686,0.256
03333020021033,7.9830776,-10.9973145,-0.584,0.273
03332113211213,8.9827489,-12.0520020,-0.278,0.280
03332131012301,8.1353671,-12.1838379,-0.360,0.277
03332131123213,7.7654229,-11.7004395,-0.573,0.269
03332113200232,8.9393399,-12.6013184,-0.424,0.255
03333002212200,8.8307950,-10.8874512,-0.598,0.259
03332131002000,8.2223637,-12.6452637,-0.278,0.307
03332131302103,7.5040887,-11.8322754,-0.425,0.264
03332112133021,9.2214045,-12.7990723,-0.414,0.260
03332113210211,9.0044514,-12.2277832,-0.314,0.264
03332112133302,9.1563324,-12.7331543,-0.270,0.261
03332113113210,9.5249141,-11.3708496,-0.690,0.264
03332131311131,7.6565531,-11.2609863,-0.195,0.261
03332113220022,8.6787785,-12.6452637,-0.541,0.277
03332131333000,7.1772006,-11.4147949,-0.117,0.256
03332112303123,8.8525066,-13.0627441,-0.106,0.266
03332131013021,8.1788678,-12.0959473,-0.464,0.287
03333020200132,7.6347758,-11.1071777,-0.543,0.251
03332131332002,7.1553996,-11.5905762,-0.485,0.264
03332130113032,8.1571180,-12.7770996,-0.438,0.265
03332112130233,9.2864645,-12.9309082,-0.455,0.254
03332112131111,9.4382242,-12.6672363,0.081,0.258
03332113012203,9.5032437,-12.2717285,-0.589,0.266
03333002233203,8.4615055,-10.6896973,-0.373,0.254
03333020100311,8.3093413,-10.3820801,-0.386,0.261
03332112300332,8.9393399,-13.2165527,-0.631,0.265
03332131302100,7.5258726,-11.8542480,-0.182,0.266
03333020013231,8.0918616,-10.6457520,-0.791,0.261
03332130133102,7.8524985,-12.7331543,-0.368,0.267
03332113122230,9.1346391,-11.8981934,-0.321,0.257
03332113200123,9.0261526,-12.5354004,-0.787,0.260
03333020202211,7.4387304,-11.1730957,-0.574,0.258
03332112133313,9.1563324,-12.6672363,-0.067,0.261
03333002201003,9.0695511,-11.0412598,-0.148,0.257
03332131303201,7.4387304,-11.7443848,-0.541,0.279
03332130111023,8.3310827,-12.7990723,0.195,0.294
03332111333030,9.9147437,-11.3708496,-0.601,0.255
03332113022302,9.1563324,-12.5573730,-0.708,0.256
03332113100102,9.7631974,-11.8542480,-0.088,0.260
03333002223120,8.5267005,-10.9753418,-0.380,0.258
03332131123000,7.8742645,-11.7663574,-0.425,0.263
03333002213223,8.7656527,-10.6896973,-0.435,0.256
03332131020023,7.9830776,-12.6232910,0.023,0.269
03333002220211,8.6570568,-11.1730957,0.451,0.370
03332112303300,8.8307950,-13.0847168,-0.050,0.273
03333002320021,8.7004990,-10.5139160,-0.619,0.290
03332131332223,7.0245718,-11.5686035,-0.248,0.258
03333002232321,8.4397714,-10.7775879,-0.393,0.254
03333020100133,8.3310827,-10.3820801,-0.018,0.252
03332113320021,8.7004990,-11.9201660,0.284,0.317
03332112331201,8.6570568,-12.7990723,-0.523,0.276
03332113201231,8.9610451,-12.4035645,-0.318,0.259
03333020100300,8.3093413,-10.4479980,-0.267,0.253
03332113232213,8.4615055,-12.2277832,0.222,0.380
03332131123331,7.7436512,-11.6125488,-0.666,0.261
03332112333001,8.5701576,-12.7990723,-0.044,0.276
03332113201333,8.9393399,-12.3156738,-0.102,0.267
03332113120031,9.3948711,-11.8762207,-0.493,0.260
03333020031021,8.0048367,-10.6896973,0.024,0.253
03332113021113,9.4165483,-12.3156738,-0.114,0.264
03332131013210,8.1353671,-12.0739746,-0.191,0.295
03333020010310,8.3093413,-10.7556152,-0.783,0.262
03332113033332,9.1129444,-11.9860840,-0.374,0.257
03332131130202,7.9395558,-11.5905762,-0.300,0.319
03332131123010,7.8742645,-11.7224121,-0.347,0.337
03332131321123,7.2861900,-11.6564941,-0.417,0.258
03332113112003,9.5899171,-11.5686035,-0.095,0.353
03332131320300,7.2643942,-11.8542480,-0.464,0.286
03332113132033,9.1997151,-11.5246582,-0.235,0.315
03333020003222,8.0701072,-11.0632324,-0.768,0.265
03332113213022,8.8525066,-12.1179199,-0.345,0.318
03332113033230,9.1346391,-12.0739746,-0.509,0.260
03332131003001,8.2223637,-12.4475098,-0.616,0.290
03332131122212,7.7654229,-11.8981934,-0.873,0.262
03332113111130,9.7415422,-11.2829590,-0.754,0.254
03333002230210,8.6570568,-10.8435059,-0.391,0.260
03333002000311,9.6982277,-11.0852051,-0.347,0.271
03332131100121,8.3528229,-11.8322754,-0.518,0.260
03332112332021,8.5267005,-12.9748535,-0.758,0.282
03332112322213,8.4615055,-13.2824707,1.149,0.367
03333020022133,7.8089630,-11.0852051,-0.546,0.264
03332113210022,9.0261526,-12.2937012,-0.524,0.259
03332113033210,9.1780244,-12.0739746,-0.428,0.257
03332113331122,8.6787785,-11.3269043,-0.833,0.261
03333020010322,8.2441099,-10.7995605,-0.178,0.257
03332113232312,8.4615055,-12.1618652,-0.603,0.278
03332131303003,7.5040887,-11.7443848,-0.436,0.262
03332130112113,8.2006163,-12.8430176,-0.472,0.265
03332113320121,8.7004990,-11.8322754,-0.147,0.266
03333020013133,8.1571180,-10.5578613,-0.390,0.254
03332113232313,8.4615055,-12.1398926,-0.639,0.286
03333020011203,8.2875987,-10.6896973,-0.550,0.259
03332113100233,9.6332456,-11.8762207,-0.454,0.326
03333020013131,8.1788678,-10.5578613,0.042,0.252
03333020012113,8.2006163,-10.7336426,-0.473,0.271
03333000222003,9.9363874,-11.2170410,-0.724,0.254
03332112332032,8.5049700,-12.9528809,-0.072,0.265
03332112300132,9.0261526,-13.2165527,-0.165,0.269
03333020012021,8.1788678,-10.8654785,-0.525,0.260
03332131321202,7.2425974,-11.7663574,0.024,0.263
03333002220233,8.5918843,-11.1730957,-0.410,0.274
03332113332301,8.4832384,-11.4807129,-0.753,0.260
03332130110113,8.3745618,-12.8430176,-0.222,0.292
03332113300232,8.9393399,-11.8981934,-0.572,0.263
03332113333123,8.5049700,-11.3049316,-0.293,0.261
03332113300003,9.0695511,-11.9201660,-0.403,0.262
03333020030132,7.9830776,-10.7556152,-0.036,0.277
03332130132121,7.8307313,-12.8869629,-0.579,0.269
03332131303020,7.4823037,-11.7663574,-0.437,0.262
03332131202321,7.3951528,-12.5354004,-0.564,0.304
03332113033321,9.1346391,-12.0080566,-0.553,0.257
03332113300033,9.0261526,-11.8762207,-0.596,0.264
03333020030312,7.9395558,-10.7556152,-0.183,0.258
03332131300111,7.7001044,-11.7883301,-0.461,0.262
03332113032100,9.2647792,-12.2058105,-0.369,0.260
03333000222211,9.8714518,-11.1730957,-0.177,0.259
03332113222131,8.5267005,-12.4914551,-0.355,0.265
03333020012120,8.1788678,-10.7995605,-0.637,0.260
03332113313331,8.7873681,-11.2609863,-0.533,0.260
03332131122300,7.7871935,-11.8542480,-0.450,0.263
03332131321010,7.3515708,-11.7224121,0.780,0.416
03333020031321,7.9177932,-10.6018066,-0.565,0.257
03333020033200,7.7871935,-10.7116699,-0.110,0.257
03332112332013,8.5484296,-12.9309082,-0.026,0.286
03332131311202,7.5912178,-11.4147949,-0.459,0.266
03333020010221,8.2658549,-10.8654785,-0.451,0.264
03332131020202,7.9395558,-12.6452637,-0.579,0.268
03332130112313,8.1136149,-12.8430176,-0.509,0.291
03332113013222,9.4598988,-12.1179199,-0.748,0.276
03332112300312,8.9827489,-13.2165527,-0.293,0.267
03332131320233,7.1990006,-11.8762207,-0.761,0.267
03332113321202,8.6353339,-11.7663574,-0.443,0.276
03332111322030,9.9147437,-11.8981934,-0.752,0.276
03332113330211,8.6570568,-11.5246582,-0.273,0.269
03332131010100,8.3962996,-12.2058105,-0.367,0.364
03332112311131,9.0478525,-12.6672363,-0.343,0.260
03333002220131,8.7004990,-11.0852051,-0.173,0.258
03332112312202,8.8090822,-12.9968262,-0.537,0.263
03333002203021,8.8742168,-11.0412598,-0.387,0.267
03332112332300,8.4832384,-12.9089355,-0.293,0.321
03332113301020,9.0478525,-11.7663574,-0.311,0.323
03332131011030,8.3528229,-12.0739746,-0.711,0.277
03332113300212,8.9827489,-11.8981934,-0.213,0.268
03332131320221,7.2207995,-11.9201660,-0.693,0.271
03332131100231,8.2658549,-11.8762207,-0.653,0.371
03332113202020,8.8742168,-12.6452637,-0.259,0.261
03332113200310,9.0044514,-12.5134277,-0.469,0.255
03332130311201,7.6129974,-12.7990723,0.507,0.272
03332131100331,8.2658549,-11.7883301,-0.513,0.286
03333002032121,9.2214045,-10.7775879,-0.516,0.257
03333020200200,7.6129974,-11.2390137,-0.161,0.255
03332113101203,9.6765684,-11.7443848,-0.121,0.265
03333020202123,7.4605176,-11.1291504,-0.446,0.258
03333002213103,8.8959258,-10.6018066,-0.263,0.268
03332113311300,9.0044514,-11.3269043,-0.528,0.266
03332113032111,9.2647792,-12.1398926,-0.459,0.266
03332113112012,9.5899171,-11.5466309,0.609,0.453
03332112321121,8.7004990,-13.0627441,-0.334,0.265
03332113021233,9.2864645,-12.4035645,-0.504,0.264
03332131012321,8.0918616,-12.1838379,-0.499,0.280
03333002232200,8.4832384,-10.8874512,-0.146,0.268
03332113213331,8.7873681,-11.9641113,-0.273,0.264
03332131112333,8.0701072,-11.4367676,-0.521,0.266
03332111322012,9.9363874,-11.8981934,-0.581,0.283
03332112331033,8.6787785,-12.7551270,-0.744,0.265
03332131131300,7.9613173,-11.3269043,-0.463,0.291
03332112301320,8.9610451,-13.0847168,-0.431,0.264
03332113232311,8.4832384,-12.1398926,-0.635,0.285
03332113230321,8.6136097,-12.1838379,-0.205,0.274
03332131122111,7.8742645,-11.7883301,0.565,0.271
03332112132102,9.2430925,-12.9089355,-0.432,0.263
03332113310022,9.0261526,-11.5905762,-0.179,0.272
03332131230311,7.2643942,-12.1398926,-0.647,0.265
03332131203310,7.4387304,-12.3376465,-0.544,0.270
03332113122112,9.2430925,-11.8103027,-0.751,0.274
03332131021231,7.9177932,-12.4035645,-0.313,0.267
03332113132132,9.1997151,-11.4587402,-0.312,0.257
03332131113221,8.0918616,-11.3928223,-0.500,0.261
03333020010311,8.3093413,-10.7336426,-0.386,0.260
03332113122210,9.1780244,-11.8981934,-0.533,0.254
03332131120012,8.0265947,-11.8981934,-0.715,0.288
03332131101012,8.3745618,-11.7224121,-0.232,0.256
03332112302133,8.8525066,-13.1945801,-1.053,0.284
03332131202111,7.5258726,-12.4914551,0.613,0.346
03332113233021,8.5267005,-12.0959473,-0.108,0.314
03332112331030,8.7004990,-12.7770996,-0.602,0.311
03333020020001,8.0483515,-11.2170410,-0.458,0.278
03332131103200,8.1353671,-11.7663574,-0.720,0.288
03332113120232,9.2864645,-11.8981934,-0.431,0.279
03332111323123,9.8930985,-11.6564941,-0.608,0.263
03332131133102,7.8524985,-11.3269043,-0.654,0.269
03333020020011,8.0483515,-11.1730957,-0.510,0.263
03332131331321,7.2207995,-11.3049316,-0.337,0.256
03332131120201,7.9613173,-11.9201660,-0.569,0.262
03332130101013,8.3745618,-13.1066895,1.140,0.384
03332113133301,9.1780244,-11.3049316,-0.301,0.257
03332130313111,7.5258726,-12.6672363,-0.523,0.270
03332130310032,7.6347758,-12.9528809,-0.196,0.269
03332112132010,9.2647792,-12.9528809,-0.559,0.256
03332131023030,7.8307313,-12.4255371,-0.559,0.267
03333020023131,7.8307313,-10.9094238,-0.344,0.259
03332130110001,8.3962996,-12.9748535,-0.406,0.301
03332113312113,8.8959258,-11.4367676,-0.536,0.255
03332113130320,9.3081485,-11.5026855,-0.444,0.277
03332130310312,7.5912178,-12.8649902,0.080,0.276
03332111332131,9.9147437,-11.4367676,-0.318,0.307
03333002222020,8.5267005,-11.2390137,-0.423,0.267
03332113222020,8.5267005,-12.6452637,-0.296,0.263
03332112320133,8.6787785,-13.1945801,-0.620,0.278
03332131013313,8.1136149,-11.9641113,-0.728,0.279
03332112302112,8.8959258,-13.2165527,-0.660,0.263
03332131003130,8.1788678,-12.3376465,-0.632,0.291
03332131030103,8.0265947,-12.1838379,-0.535,0.282
03332131303100,7.5258726,-11.6784668,-0.221,0.273
03332131112133,8.1571180,-11.4367676,-0.376,0.259
03332112132032,9.1997151,-12.9528809,-0.221,0.261
03333020011323,8.2441099,-10.6018066,0.244,0.267
03332112333101,8.5701576,-12.7111816,-0.065,0.259
03332131203300,7.4387304,-12.3815918,-0.142,0.272
03332131300310,7.6129974,-11.8103027,-0.317,0.307
03332131122231,7.7436512,-11.8762207,-0.609,0.264
03332113310313,8.9827489,-11.4367676,-0.491,0.275
03332112323113,8.5484296,-13.0187988,-0.329,0.296
03333002221023,8.6787785,-11.0412598,-0.136,0.276
03332112312002,8.8959258,-12.9968262,-0.419,0.267
03333020101010,8.3962996,-10.3161621,-0.632,0.256
