quadkey,latitude,longitude,rwi,error
12222000300022,10.4121830,0.7141113,-0.455,0.281
12222020131032,7.9830776,1.2854004,-0.375,0.285
12222000031021,10.7793483,0.5603027,-0.157,0.288
12222022123032,6.4135660,0.9338379,-0.102,0.322
12222002010022,9.7198857,0.3625488,-0.336,0.275
12222022112122,6.7628064,1.1535645,-0.552,0.290
12222022102300,6.7409861,0.8020020,-0.585,0.311
12222022311123,6.2388552,1.3513184,-0.715,0.326
12222020320331,7.2207995,0.8679199,-0.495,0.277
12222000020333,10.6714043,0.1647949,-0.288,0.300
12222022011012,6.9809543,0.5822754,0.032,0.271
12222000020002,10.8009324,0.0109863,-0.616,0.282
12222021023021,7.8307313,1.6149902,-0.778,0.296
12222020111233,8.2441099,1.3073730,-0.443,0.278
12222000231313,10.0229482,0.6921387,0.319,0.283
12222000232110,9.9580298,0.4943848,-0.070,0.282
12222002110231,9.6549077,1.1315918,0.103,0.408
12222021022230,7.7436512,1.4611816,-0.243,0.299
12222002003232,9.4598988,0.2307129,-0.679,0.278
12222002331221,8.6136097,1.2634277,-0.665,0.282
12222020102112,8.2006163,0.8459473,-0.313,0.286
12222020102333,8.0701072,0.8679199,-0.441,0.288
12222000120020,10.7793483,0.7141113,-0.255,0.276
12222021002223,8.0701072,1.4392090,-0.411,0.277
12222000022313,10.5418209,0.1647949,-0.341,0.289
12222022103320,6.6973426,0.9777832,-0.461,0.280
12222022120132,6.5882169,0.8459473,-0.484,0.280
12222000000231,11.0382553,0.0769043,-0.180,0.330
12222020113210,8.1353671,1.2854004,-0.125,0.278
12222003220123,8.6787785,1.5270996,-0.408,0.293
12222021200213,7.5912178,1.4831543,-0.251,0.275
12222002111001,9.7848511,1.2634277,-0.719,0.317
12222022102031,6.7846256,0.7800293,-0.450,0.303
12222000013132,10.9304048,0.6701660,-0.871,0.279
12222000211003,10.4554016,0.5603027,-0.509,0.279
12222020320202,7.2425974,0.7141113,-0.323,0.300
12222020320112,7.3297783,0.8459473,-0.140,0.317
12222002112033,9.5465832,1.1315918,-0.349,0.342
12222022103021,6.7846256,0.9118652,-0.503,0.282
12222000021023,10.7577626,0.2087402,-0.388,0.315
12222022113202,6.7191648,1.2414551,-0.448,0.293
12222020131130,8.0048367,1.3732910,-0.256,0.292
12222000021220,10.6929962,0.1867676,-0.592,0.286
12222020133213,7.7654229,1.3073730,-0.400,0.300
12222020130130,8.0048367,1.1975098,-0.666,0.335
12222023023212,6.3698938,1.6369629,-0.262,0.336
12222000002203,10.8872536,0.0329590,-0.501,0.282
12222000303210,10.2176252,0.9338379,-0.574,0.300
12222020310021,7.6565531,1.0876465,-0.617,0.294
12222002321131,8.7004990,1.0437012,-0.581,0.334
12222021200132,7.6347758,1.5490723,-0.498,0.289
12222022113231,6.6973426,1.3073730,-0.670,0.301
12222021203000,7.5258726,1.5930176,-0.762,0.286
12222023020103,6.6318701,1.5270996,0.025,0.328
12222020111212,8.2875987,1.2854004,-0.643,0.282
12222002010012,9.7631974,0.4064941,-0.382,0.281
12222020103120,8.1788678,0.9777832,0.654,0.438
12222020132011,7.8742645,1.1315918,-0.458,0.337
12222022121133,6.5882169,1.0437012,-0.491,0.293
12222002112001,9.6115820,1.0876465,-0.059,0.317
12222020320312,7.2425974,0.8459473,-0.199,0.275
12222020132120,7.8307313,1.1535645,-0.682,0.296
12222002112322,9.4598988,1.1535645,-0.336,0.300
12222002333300,8.4832384,1.3293457,-0.611,0.282
12222002122132,9.1997151,0.8459473,-0.207,0.315
12222022103232,6.6755194,0.9338379,-0.786,0.285
12222002101223,9.6332456,0.9118652,-0.318,0.281
12222020111200,8.3093413,1.2414551,-0.640,0.283
12222003202100,8.9176335,1.5051270,-0.732,0.276
12222020303211,7.4387304,0.9558105,-0.513,0.284
12222022121003,6.6318701,0.9118652,-0.487,0.299
12222022103330,6.6973426,1.0217285,-0.439,0.405
12222000302113,10.2824911,0.8679199,-0.354,0.283
12222020312033,7.4605176,1.1315918,0.057,0.329
12222000323103,9.9363874,0.9997559,-0.217,0.299
12222023003003,6.8064439,1.6149902,-0.448,0.288
12222002131120,9.3948711,1.3293457,-0.257,0.282
12222022101011,7.0027636,0.9558105,-0.448,0.303
12222020233300,7.0899903,0.6262207,-0.351,0.278
12222000233133,9.8930985,0.6921387,-0.312,0.287
12222002310331,8.9610451,1.2194824,0.388,0.327
12222020313202,7.4169421,1.2414551,-0.643,0.296
12222022103100,6.8282612,0.9777832,-0.608,0.283
12222020312100,7.5258726,1.1535645,0.688,0.492
12222000210233,10.3257277,0.4284668,-0.578,0.284
12222022112333,6.6755194,1.2194824,-0.393,0.312
12222000302000,10.3041101,0.7141113,-0.157,0.292
12222020113130,8.1788678,1.3732910,-0.631,0.280
12222021023003,7.8524985,1.6149902,-0.561,0.272
12222000211313,10.3689583,0.6921387,-0.393,0.281
12222000322111,9.9580298,0.8679199,-0.386,0.280
12222003202300,8.8307950,1.5051270,-0.512,0.317
12222020101030,8.3528229,0.9338379,-0.754,0.285
12222020332220,7.0463790,1.0656738,-0.554,0.283
12222020121200,7.9613173,0.8898926,-0.653,0.279
12222021223221,7.0463790,1.6149902,-0.227,0.271
12222021222302,7.0681852,1.5051270,-0.484,0.272
12222003222131,8.5267005,1.5710449,-0.348,0.273
12222022101212,6.8937071,0.9338379,-0.553,0.303
12222021001020,8.3528229,1.5930176,-0.710,0.282
12222020133112,7.8524985,1.3732910,-0.537,0.277
12222020103000,8.2223637,0.8898926,-0.284,0.283
12222022112232,6.6755194,1.1096191,-0.425,0.280
12222003201002,9.0695511,1.5930176,-0.520,0.293
12222022111202,6.8937071,1.2414551,-0.235,0.292
12222022101232,6.8500775,0.9338379,-0.498,0.294
12222002330333,8.5918843,1.2194824,-0.441,0.298
12222000023011,10.6498109,0.2526855,0.056,0.293
03333111131130,10.7793483,-0.0329590,-0.362,0.275
12222002132311,9.1780244,1.2194824,-0.471,0.274
12222002312331,8.7873681,1.2194824,-0.397,0.278
12222002333332,8.4180361,1.3732910,0.049,0.278
12222003201003,9.0695511,1.6149902,-0.421,0.285
12222020130222,7.8960294,1.0656738,-0.397,0.276
12222022013012,6.8064439,0.5822754,-0.197,0.304
12222002312131,8.8742168,1.2194824,-0.382,0.282
12222022130021,6.6100440,1.0876465,-0.454,0.278
12222021222131,7.1335976,1.5710449,-0.214,0.268
12222022110330,6.8718928,1.1975098,-0.515,0.308
12222020302002,7.5040887,0.7141113,-0.669,0.294
12222000303301,10.2176252,0.9997559,-0.500,0.281
12222022132021,6.4354006,1.0876465,-0.112,0.280
12222021200033,7.6347758,1.4831543,-0.493,0.278
12222023022102,6.4572344,1.5051270,0.411,0.310
12222022100330,6.8718928,0.8459473,-0.324,0.323
12222002323220,8.4397714,0.8898926,-0.968,0.295
12222000303033,10.2392486,0.9558105,-0.576,0.283
12222023023321,6.3480564,1.7028809,-0.291,0.384
12222020312120,7.4823037,1.1535645,0.328,0.436
12222000320232,9.9796707,0.7580566,0.017,0.279
12222021202302,7.4169421,1.5051270,-0.281,0.273
12222020331320,7.2207995,1.3293457,0.049,0.275
12222020303023,7.4605176,0.9118652,0.436,0.418
12222000022130,10.6066195,0.1428223,-0.343,0.280
12222000233132,9.8930985,0.6701660,-0.670,0.287
12222022110101,7.0027636,1.1755371,-0.598,0.333
12222000003322,10.8440961,0.2746582,-0.348,0.283
12222000213001,10.3041101,0.5603027,-0.656,0.280
12222002310222,8.9393399,1.0656738,-0.633,0.300
12222002101000,9.7848511,0.8898926,-0.208,0.294
12222002101032,9.7198857,0.9338379,-0.165,0.280
12222002111300,9.6982277,1.3293457,-0.081,0.295
12222020233131,7.1335976,0.6921387,0.092,0.394
12222022112200,6.7409861,1.0656738,-0.726,0.277
12222003221032,8.6787785,1.6369629,-0.448,0.285
12222020301330,7.5694372,1.0217285,-0.417,0.294
12222002132331,9.1346391,1.2194824,-0.068,0.301
12222021200320,7.5694372,1.5051270,-0.258,0.274
12222002131130,9.3948711,1.3732910,-0.690,0.282
12222020321300,7.2643942,0.9777832,-0.595,0.277
12222000102323,10.8440961,0.8239746,0.392,0.399
12222002131010,9.4382242,1.2854004,-0.419,0.292
12222002010303,9.6765684,0.4724121,-0.460,0.291
12222002101202,9.6765684,0.8898926,-0.555,0.283
12222002330321,8.6136097,1.1755371,-0.195,0.313
12222000300222,10.3257277,0.7141113,-0.615,0.308
12222002130023,9.3731925,1.0876465,-0.548,0.277
12222021220111,7.3515708,1.5710449,-0.254,0.299
12222020301032,7.6347758,0.9338379,-0.219,0.278
12222020101211,8.3093413,0.9558105,-0.166,0.284
12222002210312,8.9827489,0.4943848,-0.785,0.294
12222022121202,6.5445599,0.8898926,-0.478,0.299
12222020320022,7.2861900,0.7141113,0.115,0.339
12222000321200,10.0445848,0.8898926,-0.449,0.280
12222022132013,6.4572344,1.1315918,-0.568,0.308
12222002102111,9.6115820,0.8679199,-0.491,0.284
12222020313331,7.3951528,1.3952637,-0.365,0.277
12222000230120,10.0878536,0.4504395,-0.867,0.280
12222020300333,7.5476555,0.8679199,-0.313,0.289
12222020311200,7.6129974,1.2414551,-0.597,0.295
12222000023201,10.5634219,0.2087402,-0.245,0.292
12222020303321,7.3951528,0.9997559,-0.376,0.280
12222002100310,9.6982277,0.8459473,-0.372,0.284
12222002100232,9.6332456,0.7580566,-0.308,0.285
12222000233010,9.9580298,0.5822754,-0.115,0.302
12222023000033,6.9373327,1.4831543,-0.506,0.269
12222023003023,6.7628064,1.6149902,-0.416,0.280
12222002031201,9.3515125,0.5603027,-0.588,0.285
12222022110131,6.9591440,1.2194824,-0.199,0.316
12222000023110,10.6498109,0.3186035,-0.330,0.287
12222020113322,8.0701072,1.3293457,-0.788,0.297
